b_l_wrist_Position_X, b_l_wrist_Position_Y, b_l_wrist_Position_Z, b_l_wrist_Rotation_X, b_l_wrist_Rotation_Y, b_l_wrist_Rotation_Z, b_l_forearm_stub_Position_X, b_l_forearm_stub_Position_Y, b_l_forearm_stub_Position_Z, b_l_forearm_stub_Rotation_X, b_l_forearm_stub_Rotation_Y, b_l_forearm_stub_Rotation_Z, b_l_thumb0_Position_X, b_l_thumb0_Position_Y, b_l_thumb0_Position_Z, b_l_thumb0_Rotation_X, b_l_thumb0_Rotation_Y, b_l_thumb0_Rotation_Z, b_l_thumb1_Position_X, b_l_thumb1_Position_Y, b_l_thumb1_Position_Z, b_l_thumb1_Rotation_X, b_l_thumb1_Rotation_Y, b_l_thumb1_Rotation_Z, b_l_thumb2_Position_X, b_l_thumb2_Position_Y, b_l_thumb2_Position_Z, b_l_thumb2_Rotation_X, b_l_thumb2_Rotation_Y, b_l_thumb2_Rotation_Z, b_l_thumb3_Position_X, b_l_thumb3_Position_Y, b_l_thumb3_Position_Z, b_l_thumb3_Rotation_X, b_l_thumb3_Rotation_Y, b_l_thumb3_Rotation_Z, b_l_index1_Position_X, b_l_index1_Position_Y, b_l_index1_Position_Z, b_l_index1_Rotation_X, b_l_index1_Rotation_Y, b_l_index1_Rotation_Z, b_l_index2_Position_X, b_l_index2_Position_Y, b_l_index2_Position_Z, b_l_index2_Rotation_X, b_l_index2_Rotation_Y, b_l_index2_Rotation_Z, b_l_index3_Position_X, b_l_index3_Position_Y, b_l_index3_Position_Z, b_l_index3_Rotation_X, b_l_index3_Rotation_Y, b_l_index3_Rotation_Z, b_l_middle1_Position_X, b_l_middle1_Position_Y, b_l_middle1_Position_Z, b_l_middle1_Rotation_X, b_l_middle1_Rotation_Y, b_l_middle1_Rotation_Z, b_l_middle2_Position_X, b_l_middle2_Position_Y, b_l_middle2_Position_Z, b_l_middle2_Rotation_X, b_l_middle2_Rotation_Y, b_l_middle2_Rotation_Z, b_l_middle3_Position_X, b_l_middle3_Position_Y, b_l_middle3_Position_Z, b_l_middle3_Rotation_X, b_l_middle3_Rotation_Y, b_l_middle3_Rotation_Z, b_l_ring1_Position_X, b_l_ring1_Position_Y, b_l_ring1_Position_Z, b_l_ring1_Rotation_X, b_l_ring1_Rotation_Y, b_l_ring1_Rotation_Z, b_l_ring2_Position_X, b_l_ring2_Position_Y, b_l_ring2_Position_Z, b_l_ring2_Rotation_X, b_l_ring2_Rotation_Y, b_l_ring2_Rotation_Z, b_l_ring3_Position_X, b_l_ring3_Position_Y, b_l_ring3_Position_Z, b_l_ring3_Rotation_X, b_l_ring3_Rotation_Y, b_l_ring3_Rotation_Z, b_l_pinky0_Position_X, b_l_pinky0_Position_Y, b_l_pinky0_Position_Z, b_l_pinky0_Rotation_X, b_l_pinky0_Rotation_Y, b_l_pinky0_Rotation_Z, b_l_pinky1_Position_X, b_l_pinky1_Position_Y, b_l_pinky1_Position_Z, b_l_pinky1_Rotation_X, b_l_pinky1_Rotation_Y, b_l_pinky1_Rotation_Z, b_l_pinky2_Position_X, b_l_pinky2_Position_Y, b_l_pinky2_Position_Z, b_l_pinky2_Rotation_X, b_l_pinky2_Rotation_Y, b_l_pinky2_Rotation_Z, b_l_pinky3_Position_X, b_l_pinky3_Position_Y, b_l_pinky3_Position_Z, b_l_pinky3_Rotation_X, b_l_pinky3_Rotation_Y, b_l_pinky3_Rotation_Z, l_thumb_finger_tip_marker_Position_X, l_thumb_finger_tip_marker_Position_Y, l_thumb_finger_tip_marker_Position_Z, l_thumb_finger_tip_marker_Rotation_X, l_thumb_finger_tip_marker_Rotation_Y, l_thumb_finger_tip_marker_Rotation_Z, l_index_finger_tip_marker_Position_X, l_index_finger_tip_marker_Position_Y, l_index_finger_tip_marker_Position_Z, l_index_finger_tip_marker_Rotation_X, l_index_finger_tip_marker_Rotation_Y, l_index_finger_tip_marker_Rotation_Z, l_middle_finger_tip_marker_Position_X, l_middle_finger_tip_marker_Position_Y, l_middle_finger_tip_marker_Position_Z, l_middle_finger_tip_marker_Rotation_X, l_middle_finger_tip_marker_Rotation_Y, l_middle_finger_tip_marker_Rotation_Z, l_ring_finger_tip_marker_Position_X, l_ring_finger_tip_marker_Position_Y, l_ring_finger_tip_marker_Position_Z, l_ring_finger_tip_marker_Rotation_X, l_ring_finger_tip_marker_Rotation_Y, l_ring_finger_tip_marker_Rotation_Z, l_pinky_finger_tip_marker_Position_X, l_pinky_finger_tip_marker_Position_Y, l_pinky_finger_tip_marker_Position_Z, l_pinky_finger_tip_marker_Rotation_X, l_pinky_finger_tip_marker_Rotation_Y, l_pinky_finger_tip_marker_Rotation_Z
-0.03982438, -0.2330097, 0.3189765, -0.2969944, 0.6835741, -0.4819278, -0.03982438, -0.2330097, 0.3189765, -0.2969944, 0.6835741, -0.4819278, -0.04102342, -0.2070856, 0.3161907, -0.2442218, 0.2235941, -0.4296484, -0.05456603, -0.1858818, 0.3204212, -0.07755928, 0.09774248, -0.5643012, -0.06604832, -0.1546346, 0.3228243, -0.1205904, 0.1847505, -0.6425105, -0.06972887, -0.1203758, 0.3268551, -0.08172397, 0.09086357, -0.5636261, -0.02236198, -0.1372249, 0.3485173, -0.3553888, 0.6360425, -0.5661856, -0.004832245, -0.1026284, 0.3519401, -0.3982694, 0.6311753, -0.5727481, 0.006465916, -0.08039497, 0.3512363, -0.3469826, 0.6733685, -0.5502701, -0.002165914, -0.1479198, 0.3504775, -0.6521776, 0.3994611, -0.6442785, 0.004414581, -0.1249948, 0.3134224, -0.7358391, -0.2123341, -0.4202109, -0.01132898, -0.1454006, 0.3017781, -0.5355026, -0.4668092, -0.1690725, 0.01319027, -0.160107, 0.342023, -0.6893921, 0.3977281, -0.6040006, 0.01503209, -0.140168, 0.3073587, -0.7813246, -0.1710531, -0.371288, -0.003129747, -0.1570131, 0.2959327, -0.6363162, -0.4604585, -0.1208048, -0.003868472, -0.2088961, 0.3193585, -0.3277717, 0.8207255, -0.3751194, 0.02558834, -0.1738455, 0.3293545, -0.4616314, 0.7140002, -0.5069611, 0.0424166, -0.148524, 0.3209767, -0.505556, 0.7004772, -0.5012883, 0.05250673, -0.1327203, 0.3118556, -0.5382976, 0.6904088, -0.4769543, -0.07930695, -0.09710272, 0.3291936, -0.08172397, 0.09086357, -0.5636261, 0.01857473, -0.06110491, 0.3543212, -0.3469826, 0.6733685, -0.5502701, -0.02437715, -0.1647469, 0.3124424, -0.5355026, -0.4668092, -0.1690725, -0.01732044, -0.1757502, 0.3045327, -0.6363162, -0.4604585, -0.1208048, 0.06237324, -0.1141295, 0.3037859, -0.5382976, 0.6904088, -0.4769543
-0.03856092, -0.2338319, 0.3203556, -0.2954595, 0.6857189, -0.4856242, -0.03856092, -0.2338319, 0.3203556, -0.2954595, 0.6857189, -0.4856242, -0.03945028, -0.2079095, 0.3174417, -0.247, 0.2261314, -0.4364839, -0.05263256, -0.186461, 0.321576, -0.07315461, 0.1112515, -0.5720685, -0.06333719, -0.1550116, 0.3247928, -0.1160902, 0.1994251, -0.6452667, -0.06638031, -0.1208006, 0.3296722, -0.07588537, 0.1051125, -0.5662776, -0.01968947, -0.1381252, 0.3492765, -0.3531612, 0.6386617, -0.5682266, -0.001719434, -0.1037413, 0.3525552, -0.3954854, 0.6342928, -0.5740989, 0.00985289, -0.08165099, 0.3518027, -0.3435867, 0.6763526, -0.5516386, 0.000382252, -0.1490655, 0.3511587, -0.651486, 0.4023111, -0.643165, 0.007037789, -0.126368, 0.3139772, -0.7381576, -0.2072991, -0.416336, -0.009008637, -0.1465314, 0.3023242, -0.5411991, -0.4619344, -0.1662846, 0.01552587, -0.1614901, 0.3426665, -0.6892627, 0.3991002, -0.6027679, 0.01733613, -0.1417836, 0.3078679, -0.7822674, -0.1683075, -0.3668638, -0.001054704, -0.1584641, 0.2965674, -0.6399106, -0.4561561, -0.1175192, -0.002300832, -0.2101752, 0.3203723, -0.3245389, 0.8227358, -0.3779261, 0.02766376, -0.1754502, 0.3299883, -0.4595104, 0.7153286, -0.5075868, 0.04465184, -0.1502461, 0.3215792, -0.4997922, 0.7043999, -0.501506, 0.05498091, -0.1345149, 0.3126012, -0.5302674, 0.6960678, -0.4773065, -0.07565466, -0.09748961, 0.332743, -0.07588539, 0.1051125, -0.5662776, 0.02221544, -0.06251755, 0.3548565, -0.3435867, 0.6763526, -0.5516386, -0.02234408, -0.1657686, 0.3128296, -0.5411991, -0.4619344, -0.1662846, -0.01548663, -0.1770371, 0.3051218, -0.6399106, -0.4561561, -0.1175192, 0.065207, -0.1160028, 0.3048028, -0.5302674, 0.6960678, -0.4773065
-0.0386276, -0.2340842, 0.3202109, -0.2933646, 0.6875539, -0.4789005, -0.0386276, -0.2340842, 0.3202109, -0.2933646, 0.6875539, -0.4789005, -0.03970473, -0.2081253, 0.3177149, -0.2406459, 0.2264032, -0.4334369, -0.05301599, -0.1868023, 0.3220785, -0.07325452, 0.09965892, -0.5686179, -0.06414658, -0.1554463, 0.3247082, -0.115808, 0.1875679, -0.6447833, -0.06755133, -0.1211973, 0.329052, -0.07721896, 0.09304, -0.5676638, -0.02061388, -0.1387197, 0.3507631, -0.3543661, 0.6389694, -0.5634402, -0.003035035, -0.1041701, 0.3544008, -0.3958853, 0.6350579, -0.5690979, 0.008300468, -0.08194898, 0.3539563, -0.3439709, 0.677348, -0.5461141, -0.0004663579, -0.1495354, 0.3525525, -0.6531726, 0.4024807, -0.641385, 0.005999688, -0.1263809, 0.3156202, -0.7406901, -0.2042061, -0.4230101, -0.009801859, -0.1464295, 0.3034463, -0.5468472, -0.4586137, -0.1770672, 0.01480747, -0.1617041, 0.343924, -0.6922781, 0.3973471, -0.6008469, 0.01632083, -0.1417492, 0.3092529, -0.7833639, -0.1718907, -0.3689734, -0.001918819, -0.1585519, 0.2978885, -0.6386745, -0.4610904, -0.1204407, -0.002551317, -0.2101545, 0.320766, -0.3246645, 0.8239561, -0.3708475, 0.02710481, -0.1753628, 0.3310723, -0.4621694, 0.7164003, -0.5028596, 0.04388839, -0.1499602, 0.322852, -0.5017122, 0.705914, -0.4970429, 0.05412063, -0.1340709, 0.3140431, -0.5308162, 0.6982208, -0.4727033, -0.07688389, -0.09784393, 0.3315762, -0.07721896, 0.09303999, -0.5676638, 0.0204462, -0.06272511, 0.3572985, -0.3439709, 0.677348, -0.5461141, -0.02308951, -0.1660143, 0.3133529, -0.5468472, -0.4586137, -0.1770672, -0.01609209, -0.1773252, 0.3064383, -0.6386745, -0.4610904, -0.1204407, 0.06428349, -0.1154175, 0.3065029, -0.5308162, 0.6982208, -0.4727033
-0.0390626, -0.233954, 0.3196846, -0.2986961, 0.6861653, -0.4812604, -0.0390626, -0.233954, 0.3196846, -0.2986961, 0.6861653, -0.4812604, -0.04021983, -0.2080287, 0.3168928, -0.2472241, 0.2271285, -0.4320548, -0.05357535, -0.1867104, 0.3211432, -0.07855472, 0.1031869, -0.5675068, -0.06474242, -0.155367, 0.323768, -0.1209973, 0.1909585, -0.6411483, -0.06838246, -0.1211409, 0.3281019, -0.08162967, 0.09714267, -0.5639153, -0.02103792, -0.1381969, 0.3489765, -0.359042, 0.6371725, -0.5654413, -0.003461752, -0.1035943, 0.3520855, -0.3994157, 0.6336119, -0.5704426, 0.00785869, -0.08137256, 0.3513725, -0.3478501, 0.6758615, -0.5480088, -0.0008518919, -0.1489454, 0.3507369, -0.6548771, 0.4003764, -0.6409502, 0.005416118, -0.1260742, 0.3135945, -0.7403784, -0.2063399, -0.4201677, -0.01047145, -0.1461803, 0.3016291, -0.5451501, -0.4608732, -0.173469, 0.01438354, -0.1611801, 0.3421338, -0.6939155, 0.3946902, -0.6003655, 0.0156821, -0.1415382, 0.3072758, -0.7826577, -0.1741346, -0.3659654, -0.002635788, -0.1584068, 0.2961372, -0.6365923, -0.4632633, -0.1162614, -0.003039364, -0.2099381, 0.3196803, -0.3286753, 0.8224646, -0.3740975, 0.02661354, -0.1749609, 0.3293484, -0.4683039, 0.711883, -0.505466, 0.04315591, -0.149607, 0.3205119, -0.50767, 0.7003787, -0.4995761, 0.05316881, -0.13381, 0.3112945, -0.5388731, 0.6915169, -0.4750104, -0.07787591, -0.0978609, 0.330702, -0.08162967, 0.09714267, -0.5639153, 0.02001456, -0.06210975, 0.3544424, -0.3478501, 0.6758615, -0.5480088, -0.02372395, -0.1656777, 0.3117527, -0.5451501, -0.4608732, -0.173469, -0.01676787, -0.1770957, 0.3049363, -0.6365923, -0.4632633, -0.1162614, 0.06302714, -0.1152259, 0.3031993, -0.5388731, 0.6915169, -0.4750104
-0.03908415, -0.2339881, 0.3197607, -0.2964764, 0.6826576, -0.4871278, -0.03908415, -0.2339881, 0.3197607, -0.2964764, 0.6826576, -0.4871278, -0.04006225, -0.2080831, 0.3167226, -0.2481149, 0.2221393, -0.4360838, -0.05335367, -0.1866682, 0.3206778, -0.07389659, 0.1067546, -0.5708936, -0.06421337, -0.1552469, 0.3236388, -0.1163072, 0.1951454, -0.6434616, -0.06753506, -0.1210374, 0.3283436, -0.07617491, 0.1008799, -0.5636214, -0.02077462, -0.1380734, 0.3483519, -0.3530689, 0.635828, -0.5694504, -0.00297742, -0.1036031, 0.3516654, -0.3948087, 0.6318294, -0.5752987, 0.00850809, -0.08146545, 0.3509743, -0.343707, 0.6736351, -0.5529752, -0.0006697923, -0.1489223, 0.3504021, -0.649729, 0.4007127, -0.6459513, 0.00618919, -0.1262794, 0.3132243, -0.7364908, -0.2046936, -0.4211048, -0.009692062, -0.1464352, 0.3013345, -0.5411069, -0.4583408, -0.1707769, 0.01457423, -0.1613232, 0.3420562, -0.688405, 0.396191, -0.6056695, 0.01647999, -0.1418099, 0.3071539, -0.7797074, -0.1696134, -0.3691988, -0.001793005, -0.1586219, 0.295857, -0.6363251, -0.4570858, -0.1180981, -0.002921756, -0.2101826, 0.3198816, -0.3257386, 0.8203921, -0.380201, 0.02684353, -0.175291, 0.3295137, -0.4622504, 0.7114364, -0.5107931, 0.04368729, -0.150076, 0.3208508, -0.5031896, 0.6996452, -0.5049424, 0.05388217, -0.1343783, 0.3116635, -0.5349641, 0.6905117, -0.4806286, -0.07700827, -0.09778543, 0.3312508, -0.07617491, 0.1008799, -0.5636213, 0.02076467, -0.06226869, 0.3540576, -0.343707, 0.6736351, -0.5529752, -0.02310668, -0.1657361, 0.31162, -0.5411069, -0.4583408, -0.1707769, -0.01616897, -0.177192, 0.3045113, -0.6363251, -0.4570858, -0.1180981, 0.06390776, -0.1158857, 0.303564, -0.534964, 0.6905117, -0.4806285
-0.03883632, -0.2333967, 0.3197885, -0.29398, 0.6830972, -0.4874358, -0.03883632, -0.2333967, 0.3197885, -0.29398, 0.6830972, -0.4874358, -0.03971868, -0.2074806, 0.3168165, -0.2463774, 0.2213505, -0.4388419, -0.05290481, -0.1859938, 0.3207339, -0.07282891, 0.1033715, -0.5732117, -0.06363493, -0.1545132, 0.3235337, -0.1146181, 0.1920918, -0.645579, -0.06684929, -0.1202789, 0.3281316, -0.07518777, 0.0975311, -0.5663047, -0.02029497, -0.13762, 0.3486913, -0.3508738, 0.6361229, -0.5691295, -0.002497017, -0.1031713, 0.3522187, -0.3918526, 0.6327705, -0.5746189, 0.00900887, -0.08103883, 0.3517309, -0.3400061, 0.6748514, -0.5516068, -0.0002328418, -0.1485414, 0.3507743, -0.6483548, 0.4020588, -0.6464987, 0.006783731, -0.1258477, 0.3136569, -0.7356625, -0.2060302, -0.4195879, -0.009138603, -0.146055, 0.30191, -0.5380994, -0.4607555, -0.1668606, 0.01499531, -0.160971, 0.3424421, -0.6868433, 0.3983246, -0.6060746, 0.01707608, -0.1413722, 0.3075978, -0.7797505, -0.1685037, -0.3687828, -0.001234129, -0.1581395, 0.2962948, -0.6364236, -0.456558, -0.1169923, -0.002595283, -0.2097126, 0.3200837, -0.3234167, 0.8210152, -0.3800692, 0.02725647, -0.1749465, 0.3299001, -0.457484, 0.7143295, -0.5105008, 0.04434156, -0.1498002, 0.3215143, -0.4977584, 0.7036591, -0.5044647, 0.05475122, -0.134118, 0.3125438, -0.5287411, 0.6950317, -0.4803954, -0.07621115, -0.09696591, 0.3309078, -0.07518777, 0.0975311, -0.5663047, 0.02126417, -0.06188139, 0.3550546, -0.3400061, 0.6748514, -0.5516068, -0.02251275, -0.1652399, 0.3124615, -0.5380994, -0.4607555, -0.1668606, -0.01564864, -0.1766653, 0.3049799, -0.6364236, -0.456558, -0.1169923, 0.06503959, -0.1156498, 0.3047232, -0.5287411, 0.6950316, -0.4803954
-0.03902752, -0.2331241, 0.3196778, -0.2924218, 0.6863695, -0.4838085, -0.03902752, -0.2331241, 0.3196778, -0.2924218, 0.6863695, -0.4838085, -0.03990009, -0.2071802, 0.3169565, -0.2431631, 0.2250086, -0.4378207, -0.05304858, -0.1857166, 0.3211201, -0.07365549, 0.10118, -0.5725826, -0.06385673, -0.1542503, 0.3237773, -0.1154578, 0.1896518, -0.6460704, -0.06709167, -0.1199964, 0.328211, -0.07708305, 0.09502843, -0.5703231, -0.02030372, -0.1376418, 0.3494247, -0.3520896, 0.6381906, -0.5666617, -0.002518855, -0.1031896, 0.3529836, -0.3926971, 0.6349924, -0.5718052, 0.008966632, -0.08104533, 0.3525526, -0.3409455, 0.676977, -0.5489048, -0.0002428032, -0.1485979, 0.3513295, -0.6511828, 0.4023627, -0.6434575, 0.006449573, -0.1258039, 0.3142138, -0.7376335, -0.208401, -0.4170067, -0.009539329, -0.1460198, 0.3025727, -0.5378803, -0.4650185, -0.1642014, 0.01494473, -0.1609591, 0.3428231, -0.6894988, 0.3987214, -0.6028238, 0.01673619, -0.1412201, 0.308042, -0.7819846, -0.169746, -0.3669807, -0.001623437, -0.1579596, 0.2967781, -0.637332, -0.4595028, -0.1157632, -0.00276674, -0.2094716, 0.3200656, -0.3224672, 0.8234536, -0.3756607, 0.0271486, -0.1748235, 0.3301033, -0.4590531, 0.7162009, -0.5064887, 0.04414519, -0.149592, 0.3217942, -0.4990469, 0.7055956, -0.500423, 0.0544993, -0.1338306, 0.3128985, -0.5304527, 0.6964943, -0.4763444, -0.07625219, -0.09658234, 0.3308024, -0.07708303, 0.09502843, -0.5703231, 0.02122295, -0.06189308, 0.3559022, -0.3409455, 0.676977, -0.5489048, -0.02276617, -0.1652084, 0.3133018, -0.5378803, -0.4650185, -0.1642014, -0.01592879, -0.176542, 0.3055226, -0.637332, -0.4595028, -0.1157632, 0.0647109, -0.1152913, 0.3051456, -0.5304527, 0.6964943, -0.4763444
-0.03882889, -0.2324696, 0.3191501, -0.2896869, 0.6879082, -0.4808715, -0.03882889, -0.2324696, 0.3191501, -0.2896869, 0.6879082, -0.4808715, -0.03970591, -0.2065014, 0.3166727, -0.237693, 0.2268194, -0.4341837, -0.05297449, -0.1851679, 0.3211143, -0.07242636, 0.09917893, -0.5691572, -0.06407048, -0.1537997, 0.3237451, -0.1145723, 0.1875719, -0.6435851, -0.06758223, -0.1195719, 0.3281702, -0.07616744, 0.09286506, -0.568224, -0.0202399, -0.1372656, 0.349858, -0.3535689, 0.6380404, -0.5670671, -0.002434146, -0.1028074, 0.3532509, -0.3945856, 0.634472, -0.5723798, 0.009051166, -0.08066635, 0.3526766, -0.3431472, 0.6763514, -0.5498605, -0.0001794361, -0.1482302, 0.3517185, -0.6514211, 0.4033785, -0.6425954, 0.006487351, -0.1252275, 0.314727, -0.7383226, -0.2088134, -0.4176927, -0.00945944, -0.145445, 0.3030311, -0.5373681, -0.466754, -0.1642956, 0.01503932, -0.1605031, 0.3431404, -0.6907645, 0.3980814, -0.6019354, 0.01670424, -0.1406688, 0.3084071, -0.7819298, -0.1735721, -0.3661411, -0.001617298, -0.1575365, 0.2972731, -0.6339905, -0.4650491, -0.1134845, -0.002580874, -0.2088053, 0.3198706, -0.3207814, 0.8247386, -0.3721613, 0.02728769, -0.1742405, 0.3303259, -0.4609035, 0.7162215, -0.5040002, 0.04412753, -0.1488593, 0.3221547, -0.4981228, 0.7074795, -0.4981326, 0.05449726, -0.132986, 0.3134789, -0.528223, 0.6990128, -0.4740626, -0.07688617, -0.09620905, 0.3307122, -0.07616744, 0.09286506, -0.568224, 0.02132143, -0.06149633, 0.35587, -0.3431472, 0.6763514, -0.5498605, -0.02260309, -0.1646662, 0.313804, -0.5373681, -0.466754, -0.1642956, -0.01570312, -0.1761618, 0.3062788, -0.6339905, -0.4650491, -0.1134845, 0.06476115, -0.1143498, 0.3060336, -0.528223, 0.6990128, -0.4740626
-0.0392526, -0.2327487, 0.3184154, -0.2892678, 0.6873865, -0.4829409, -0.0392526, -0.2327487, 0.3184154, -0.2892678, 0.6873865, -0.4829409, -0.04004361, -0.2067869, 0.3158436, -0.2387434, 0.2261741, -0.4360839, -0.05324272, -0.1853924, 0.3201984, -0.07466827, 0.09612803, -0.5705905, -0.06426942, -0.1539789, 0.3225659, -0.1161551, 0.1845804, -0.6444143, -0.06778433, -0.1197222, 0.3267587, -0.07810295, 0.09001982, -0.5686305, -0.02036938, -0.1374954, 0.3487889, -0.3511767, 0.6392328, -0.5692269, -0.002253924, -0.1031923, 0.3521143, -0.3927048, 0.6355019, -0.5746075, 0.009424184, -0.08115473, 0.351455, -0.3418013, 0.6768233, -0.5526248, -0.0003457703, -0.1485184, 0.3506999, -0.6507463, 0.403248, -0.6433403, 0.006396163, -0.1257187, 0.3135965, -0.7383263, -0.2063066, -0.4173092, -0.009627586, -0.1458539, 0.3018638, -0.5394677, -0.4634128, -0.1644862, 0.01483739, -0.1608718, 0.3421744, -0.6903475, 0.3971813, -0.6028156, 0.01652991, -0.1412237, 0.3073368, -0.7814257, -0.1716921, -0.3663822, -0.001817405, -0.1580393, 0.2961664, -0.6350189, -0.4622092, -0.1139172, -0.002927978, -0.2092002, 0.3190699, -0.3198428, 0.8245116, -0.3741931, 0.02704765, -0.1746954, 0.3294163, -0.4626251, 0.7141199, -0.5058265, 0.04381424, -0.1493291, 0.3210504, -0.5008099, 0.7044279, -0.5000436, 0.05408385, -0.1334891, 0.3121964, -0.5319999, 0.6953197, -0.4758909, -0.07709345, -0.0963431, 0.3291262, -0.07810295, 0.09001982, -0.5686305, 0.0218633, -0.06207344, 0.354524, -0.3418013, 0.6768233, -0.5526248, -0.02292587, -0.1650404, 0.3125079, -0.5394677, -0.4634128, -0.1644862, -0.01602466, -0.1766134, 0.3050867, -0.6350189, -0.4622092, -0.1139172, 0.06419952, -0.1148745, 0.3044985, -0.5319999, 0.6953197, -0.4758909
-0.0374954, -0.233529, 0.3169682, -0.2576661, 0.6218939, -0.561771, -0.0374954, -0.233529, 0.3169682, -0.2576661, 0.6218939, -0.561771, -0.03611525, -0.2081361, 0.3110902, -0.2507017, 0.1305154, -0.499339, -0.04803618, -0.1855989, 0.3101569, -0.06983735, -0.004135966, -0.6097419, -0.05659381, -0.1534835, 0.3070964, -0.09693758, 0.08727585, -0.6911564, -0.05761273, -0.1188093, 0.3067522, -0.07414041, -0.01054744, -0.608476, -0.01742466, -0.1360263, 0.3380091, -0.3071647, 0.5781231, -0.6485844, 0.002423413, -0.1025881, 0.3399755, -0.3468962, 0.5780277, -0.6566712, 0.01566317, -0.08150326, 0.3383613, -0.297204, 0.6182234, -0.6337247, 0.001240131, -0.1475941, 0.3446361, -0.5826677, 0.3759328, -0.7197193, 0.01528189, -0.1304648, 0.3065395, -0.6739309, -0.1675014, -0.4523402, 0.000160832, -0.1511676, 0.2945983, -0.4984715, -0.3912354, -0.1703902, 0.01673874, -0.1616553, 0.3404061, -0.6229969, 0.3761761, -0.6815785, 0.02523017, -0.1470538, 0.304112, -0.7180551, -0.14082, -0.4012503, 0.007816784, -0.1646322, 0.2926256, -0.590148, -0.4040519, -0.1151912, -0.0002576038, -0.2117822, 0.3208236, -0.2815435, 0.7810994, -0.4600311, 0.02989661, -0.1776031, 0.3317177, -0.3967496, 0.682857, -0.5891079, 0.04966006, -0.1541606, 0.3243416, -0.4321486, 0.6824677, -0.5840397, 0.0624569, -0.1399157, 0.3160901, -0.4632854, 0.675368, -0.5629409, -0.06512292, -0.09475091, 0.3048443, -0.07414038, -0.01054743, -0.608476, 0.02885243, -0.0628567, 0.3409296, -0.297204, 0.6182234, -0.6337247, -0.01604789, -0.1684696, 0.3044056, -0.4984715, -0.3912354, -0.1703902, -0.008680651, -0.1811554, 0.3016386, -0.590148, -0.4040519, -0.1151912, 0.07520073, -0.1227727, 0.3088928, -0.4632854, 0.675368, -0.5629409
