b_l_wrist_Position_X, b_l_wrist_Position_Y, b_l_wrist_Position_Z, b_l_wrist_Rotation_X, b_l_wrist_Rotation_Y, b_l_wrist_Rotation_Z, b_l_forearm_stub_Position_X, b_l_forearm_stub_Position_Y, b_l_forearm_stub_Position_Z, b_l_forearm_stub_Rotation_X, b_l_forearm_stub_Rotation_Y, b_l_forearm_stub_Rotation_Z, b_l_thumb0_Position_X, b_l_thumb0_Position_Y, b_l_thumb0_Position_Z, b_l_thumb0_Rotation_X, b_l_thumb0_Rotation_Y, b_l_thumb0_Rotation_Z, b_l_thumb1_Position_X, b_l_thumb1_Position_Y, b_l_thumb1_Position_Z, b_l_thumb1_Rotation_X, b_l_thumb1_Rotation_Y, b_l_thumb1_Rotation_Z, b_l_thumb2_Position_X, b_l_thumb2_Position_Y, b_l_thumb2_Position_Z, b_l_thumb2_Rotation_X, b_l_thumb2_Rotation_Y, b_l_thumb2_Rotation_Z, b_l_thumb3_Position_X, b_l_thumb3_Position_Y, b_l_thumb3_Position_Z, b_l_thumb3_Rotation_X, b_l_thumb3_Rotation_Y, b_l_thumb3_Rotation_Z, b_l_index1_Position_X, b_l_index1_Position_Y, b_l_index1_Position_Z, b_l_index1_Rotation_X, b_l_index1_Rotation_Y, b_l_index1_Rotation_Z, b_l_index2_Position_X, b_l_index2_Position_Y, b_l_index2_Position_Z, b_l_index2_Rotation_X, b_l_index2_Rotation_Y, b_l_index2_Rotation_Z, b_l_index3_Position_X, b_l_index3_Position_Y, b_l_index3_Position_Z, b_l_index3_Rotation_X, b_l_index3_Rotation_Y, b_l_index3_Rotation_Z, b_l_middle1_Position_X, b_l_middle1_Position_Y, b_l_middle1_Position_Z, b_l_middle1_Rotation_X, b_l_middle1_Rotation_Y, b_l_middle1_Rotation_Z, b_l_middle2_Position_X, b_l_middle2_Position_Y, b_l_middle2_Position_Z, b_l_middle2_Rotation_X, b_l_middle2_Rotation_Y, b_l_middle2_Rotation_Z, b_l_middle3_Position_X, b_l_middle3_Position_Y, b_l_middle3_Position_Z, b_l_middle3_Rotation_X, b_l_middle3_Rotation_Y, b_l_middle3_Rotation_Z, b_l_ring1_Position_X, b_l_ring1_Position_Y, b_l_ring1_Position_Z, b_l_ring1_Rotation_X, b_l_ring1_Rotation_Y, b_l_ring1_Rotation_Z, b_l_ring2_Position_X, b_l_ring2_Position_Y, b_l_ring2_Position_Z, b_l_ring2_Rotation_X, b_l_ring2_Rotation_Y, b_l_ring2_Rotation_Z, b_l_ring3_Position_X, b_l_ring3_Position_Y, b_l_ring3_Position_Z, b_l_ring3_Rotation_X, b_l_ring3_Rotation_Y, b_l_ring3_Rotation_Z, b_l_pinky0_Position_X, b_l_pinky0_Position_Y, b_l_pinky0_Position_Z, b_l_pinky0_Rotation_X, b_l_pinky0_Rotation_Y, b_l_pinky0_Rotation_Z, b_l_pinky1_Position_X, b_l_pinky1_Position_Y, b_l_pinky1_Position_Z, b_l_pinky1_Rotation_X, b_l_pinky1_Rotation_Y, b_l_pinky1_Rotation_Z, b_l_pinky2_Position_X, b_l_pinky2_Position_Y, b_l_pinky2_Position_Z, b_l_pinky2_Rotation_X, b_l_pinky2_Rotation_Y, b_l_pinky2_Rotation_Z, b_l_pinky3_Position_X, b_l_pinky3_Position_Y, b_l_pinky3_Position_Z, b_l_pinky3_Rotation_X, b_l_pinky3_Rotation_Y, b_l_pinky3_Rotation_Z, l_thumb_finger_tip_marker_Position_X, l_thumb_finger_tip_marker_Position_Y, l_thumb_finger_tip_marker_Position_Z, l_thumb_finger_tip_marker_Rotation_X, l_thumb_finger_tip_marker_Rotation_Y, l_thumb_finger_tip_marker_Rotation_Z, l_index_finger_tip_marker_Position_X, l_index_finger_tip_marker_Position_Y, l_index_finger_tip_marker_Position_Z, l_index_finger_tip_marker_Rotation_X, l_index_finger_tip_marker_Rotation_Y, l_index_finger_tip_marker_Rotation_Z, l_middle_finger_tip_marker_Position_X, l_middle_finger_tip_marker_Position_Y, l_middle_finger_tip_marker_Position_Z, l_middle_finger_tip_marker_Rotation_X, l_middle_finger_tip_marker_Rotation_Y, l_middle_finger_tip_marker_Rotation_Z, l_ring_finger_tip_marker_Position_X, l_ring_finger_tip_marker_Position_Y, l_ring_finger_tip_marker_Position_Z, l_ring_finger_tip_marker_Rotation_X, l_ring_finger_tip_marker_Rotation_Y, l_ring_finger_tip_marker_Rotation_Z, l_pinky_finger_tip_marker_Position_X, l_pinky_finger_tip_marker_Position_Y, l_pinky_finger_tip_marker_Position_Z, l_pinky_finger_tip_marker_Rotation_X, l_pinky_finger_tip_marker_Rotation_Y, l_pinky_finger_tip_marker_Rotation_Z
-0.229691, -0.110097, 0.09899533, -0.03682901, 0.1138371, -0.7535606, -0.229691, -0.110097, 0.09899533, -0.03682901, 0.1138371, -0.7535606, -0.2171088, -0.09019019, 0.08783447, -0.0787379, -0.4679105, -0.6769512, -0.2080809, -0.07266151, 0.07170564, 0.06112665, -0.7148358, -0.5857339, -0.1844817, -0.05502819, 0.05612636, 0.2208983, -0.6122378, -0.7089751, -0.1583318, -0.03232385, 0.05545966, 0.3662206, -0.5932124, -0.7159524, -0.2114375, -0.01146176, 0.08292279, -0.07289819, 0.01469172, -0.960153, -0.1786186, 0.008732677, 0.07778855, -0.08359208, -0.001763211, -0.9644081, -0.1571909, -0.00332769, 0.07379411, -0.05582499, -0.011017, -0.8746767, -0.2116869, -0.0139095, 0.1056919, -0.04980047, 0.117682, -0.7942619, -0.1989533, 0.0281224, 0.1083623, -0.0532721, 0.1290874, -0.7942722, -0.1906213, 0.05503458, 0.1102834, -0.0664986, 0.1637971, -0.7558049, -0.2049059, -0.02391572, 0.1232506, -0.02012396, 0.1854261, -0.6915825, -0.2038931, 0.01496093, 0.1324816, -0.04537061, 0.2100717, -0.6970373, -0.2022593, 0.04145481, 0.138587, -0.06454844, 0.1934305, -0.6822283, -0.2099435, -0.08003879, 0.1229787, -0.0658075, 0.3562562, -0.7229151, -0.195951, -0.03804149, 0.1381392, 0.04139099, 0.2827444, -0.6551948, -0.19537, -0.00992313, 0.1522994, 0.02462881, 0.3403183, -0.6722993, -0.1925469, 0.008118019, 0.1622979, -0.01079383, 0.3072961, -0.6784117, -0.1399475, -0.01915102, 0.06665675, 0.3662206, -0.5932124, -0.7159524, -0.1441177, -0.02210461, 0.07202303, -0.05582499, -0.011017, -0.8746767, -0.1865908, 0.0801037, 0.1136794, -0.0664986, 0.1637971, -0.7558049, -0.2035601, 0.06581862, 0.1439905, -0.06454844, 0.1934305, -0.6822283, -0.1913174, 0.02861275, 0.1715162, -0.01079383, 0.3072961, -0.6784117
-0.2305388, -0.1102036, 0.09893703, -0.03924708, 0.1197042, -0.7537, -0.2305388, -0.1102036, 0.09893703, -0.03924708, 0.1197042, -0.7537, -0.2180432, -0.09026094, 0.08774287, -0.08281302, -0.4625389, -0.6769374, -0.2092709, -0.07267401, 0.07153657, 0.05610111, -0.7111063, -0.5877475, -0.1858686, -0.05506051, 0.05564097, 0.217246, -0.6087532, -0.7128071, -0.1596361, -0.03245449, 0.05488659, 0.3683047, -0.5863374, -0.7208875, -0.2122594, -0.01151826, 0.08320481, -0.07722302, 0.01993729, -0.9597534, -0.179486, 0.008695424, 0.0778598, -0.08996179, 0.0002812478, -0.9629926, -0.1581945, -0.003493175, 0.07354006, -0.06247177, -0.01102091, -0.870643, -0.2122516, -0.01409286, 0.1059612, -0.05260728, 0.1234381, -0.7951326, -0.1992742, 0.02785968, 0.1087044, -0.05601694, 0.1348522, -0.7949107, -0.190799, 0.05472355, 0.1106745, -0.06900907, 0.1697187, -0.7568275, -0.2052903, -0.02421132, 0.1233845, -0.02208024, 0.1912734, -0.6912817, -0.2041347, 0.01461377, 0.1328136, -0.04743532, 0.2158599, -0.6966733, -0.2023943, 0.04107299, 0.1390388, -0.06671406, 0.1992839, -0.6824136, -0.2104515, -0.08032134, 0.1228581, -0.06795339, 0.3617286, -0.7221497, -0.1961948, -0.03843885, 0.13809, 0.04088376, 0.288136, -0.6526462, -0.19563, -0.01042885, 0.152464, 0.02316146, 0.3456556, -0.6705763, -0.1927507, 0.007553637, 0.1625517, -0.01277778, 0.3126936, -0.6776739, -0.1412927, -0.01959648, 0.06650858, 0.3683047, -0.5863374, -0.7208875, -0.145433, -0.02245735, 0.07150939, -0.06247177, -0.01102091, -0.870643, -0.1865791, 0.07975101, 0.1141467, -0.06900907, 0.1697187, -0.7568275, -0.2035582, 0.06541521, 0.1445693, -0.06671406, 0.1992839, -0.6824136, -0.191412, 0.02800076, 0.1718601, -0.0127778, 0.3126936, -0.6776739
-0.23384, -0.1098091, 0.1002324, -0.04610734, 0.1332037, -0.7469872, -0.23384, -0.1098091, 0.1002324, -0.04610734, 0.1332037, -0.7469872, -0.2219776, -0.08951653, 0.08897855, -0.07777728, -0.451616, -0.6821538, -0.2133528, -0.0715038, 0.07316553, 0.06894115, -0.6996019, -0.5940729, -0.190534, -0.05280738, 0.05766337, 0.2083747, -0.5986403, -0.712128, -0.1652143, -0.02927735, 0.05542714, 0.3598132, -0.5796263, -0.7287985, -0.2175904, -0.01063594, 0.08536445, -0.08496883, 0.03763722, -0.9516095, -0.185948, 0.01128519, 0.079935, -0.106399, 0.008288441, -0.9606999, -0.1648728, -0.0009361506, 0.07473654, -0.08043322, -0.009402256, -0.8582639, -0.2169207, -0.01351138, 0.108075, -0.05328006, 0.1422135, -0.7828907, -0.2052043, 0.02872162, 0.1119549, -0.0589423, 0.1527978, -0.7903208, -0.1968484, 0.05558213, 0.1144188, -0.07152404, 0.1876135, -0.7526644, -0.2093246, -0.02374363, 0.1251634, -0.02329265, 0.2073052, -0.6759057, -0.2093387, 0.01483506, 0.1356188, -0.05199418, 0.2309774, -0.6883731, -0.2078565, 0.04119962, 0.142296, -0.07131533, 0.214308, -0.6752397, -0.2135925, -0.07991923, 0.1240084, -0.07675488, 0.3739397, -0.7139053, -0.1996032, -0.03801281, 0.1394213, 0.03675757, 0.300432, -0.6363631, -0.1999044, -0.01027351, 0.1543186, 0.01167488, 0.3580695, -0.663931, -0.1970307, 0.00769797, 0.1644276, -0.02507038, 0.3249803, -0.67236, -0.1467656, -0.01572536, 0.06605116, 0.3598132, -0.5796263, -0.7287985, -0.1530641, -0.02041978, 0.07198662, -0.08043322, -0.009402256, -0.8582639, -0.1926041, 0.0805281, 0.118409, -0.07152404, 0.1876135, -0.7526644, -0.2091706, 0.06542712, 0.1482782, -0.07131533, 0.214308, -0.6752397, -0.1956498, 0.02812967, 0.1737636, -0.02507038, 0.3249803, -0.67236
-0.2372676, -0.1072293, 0.104506, 0.04151799, 0.1217525, -0.7885078, -0.2372676, -0.1072293, 0.104506, 0.04151799, 0.1217525, -0.7885078, -0.2211682, -0.08824835, 0.09678031, -0.03338382, -0.4545254, -0.7515248, -0.2073421, -0.07075913, 0.084457, 0.08353999, -0.7037745, -0.6460133, -0.17984, -0.05463256, 0.07475447, 0.2449551, -0.5979431, -0.7427331, -0.1514935, -0.03545475, 0.08008744, 0.325327, -0.6082675, -0.7239864, -0.2051587, -0.01091308, 0.1009526, -0.01252419, 0.0501022, -0.9756774, -0.1698248, 0.005296722, 0.1008324, -0.04701291, 0.06062492, -0.9532974, -0.1492758, -0.008435868, 0.09771721, -0.03427488, 0.05809339, -0.8590784, -0.2081349, -0.01545352, 0.1232015, 0.03222363, 0.1330557, -0.8205046, -0.1913332, 0.02424248, 0.1320265, 0.0298187, 0.144631, -0.8178132, -0.1806177, 0.04968856, 0.137947, 0.02112898, 0.1746083, -0.774159, -0.2045722, -0.02790876, 0.1401303, 0.07363132, 0.1917659, -0.7219576, -0.1999359, 0.009096496, 0.154509, 0.05223158, 0.2182137, -0.7187981, -0.1964338, 0.03424102, 0.1643761, 0.03400022, 0.2001793, -0.7035932, -0.2165645, -0.08254552, 0.1333288, 0.02410712, 0.3662765, -0.7432875, -0.1990988, -0.04446864, 0.1541736, 0.1473048, 0.2867198, -0.6817361, -0.1961406, -0.01893197, 0.1723565, 0.1447551, 0.3433078, -0.672992, -0.1931936, -0.003096394, 0.1855464, 0.1144871, 0.3099149, -0.6747637, -0.131522, -0.02474752, 0.09119471, 0.325327, -0.6082675, -0.7239864, -0.1372893, -0.02786528, 0.09538461, -0.03427488, 0.05809339, -0.8590784, -0.1750236, 0.07372987, 0.1447998, 0.02112898, 0.1746083, -0.774159, -0.1962253, 0.05769554, 0.1729975, 0.03400022, 0.2001793, -0.7035932, -0.1921487, 0.01538662, 0.1983452, 0.1144871, 0.3099149, -0.6747637
-0.2207308, -0.1183261, 0.104239, -0.04897132, 0.1392875, -0.682796, -0.2207308, -0.1183261, 0.104239, -0.04897132, 0.1392875, -0.682796, -0.2127765, -0.09590931, 0.09359142, -0.01915392, -0.4465828, -0.6458709, -0.2068368, -0.07597982, 0.07887973, 0.1603335, -0.6726012, -0.5705265, -0.1883151, -0.05194025, 0.06510956, 0.283653, -0.5540881, -0.6913037, -0.1685778, -0.02348088, 0.06460989, 0.3845982, -0.5534284, -0.7173915, -0.2227628, -0.01746899, 0.09223324, -0.08219379, 0.04916924, -0.9047241, -0.1978096, 0.01204362, 0.08803841, -0.1129203, 0.0166625, -0.9843172, -0.1744353, 0.005541272, 0.0823891, -0.09046872, 0.001026593, -0.9179586, -0.2215114, -0.02081849, 0.114854, -0.05243196, 0.1506337, -0.7015723, -0.2202007, 0.0227545, 0.1208233, -0.05705821, 0.1615761, -0.6995438, -0.2193272, 0.05068295, 0.1248995, -0.06987862, 0.1931769, -0.6468718, -0.2121334, -0.02998573, 0.1316596, -0.0256226, 0.2192936, -0.6066762, -0.2188368, 0.007500209, 0.1438045, -0.05222803, 0.2413505, -0.6073769, -0.2228049, 0.03316926, 0.1520036, -0.06765339, 0.2224663, -0.5887759, -0.2061579, -0.08594923, 0.1288972, -0.1022729, 0.3757229, -0.652113, -0.1999429, -0.04265612, 0.1455251, 0.02672054, 0.3205794, -0.5764431, -0.2040327, -0.01592728, 0.16166, 0.01032503, 0.3754755, -0.5823115, -0.2048626, 0.001392446, 0.1731822, -0.01619694, 0.3391074, -0.5792878, -0.1527313, -0.005573802, 0.07267865, 0.3845982, -0.5534284, -0.7173915, -0.1579316, -0.009992346, 0.07879032, -0.09046872, 0.001026593, -0.9179586, -0.222549, 0.07546114, 0.1305474, -0.06987862, 0.1931769, -0.6468718, -0.2293246, 0.05611696, 0.1594456, -0.06765339, 0.2224663, -0.5887759, -0.2082723, 0.02061547, 0.1843792, -0.01619694, 0.3391074, -0.5792878
-0.2329315, -0.1123813, 0.1092414, -0.04320391, 0.1231098, -0.7959038, -0.2329315, -0.1123813, 0.1092414, -0.04320391, 0.1231098, -0.7959038, -0.2181042, -0.09445057, 0.09750286, -0.1140685, -0.4570342, -0.7206551, -0.2064768, -0.07842998, 0.08147025, 0.02081075, -0.7112799, -0.6131727, -0.1810231, -0.06342451, 0.06605884, 0.1797563, -0.6185881, -0.7278486, -0.1524531, -0.04386731, 0.06504772, 0.2713876, -0.6409172, -0.7155373, -0.2018812, -0.01727058, 0.09162743, -0.08431593, 0.02822486, -0.9684515, -0.1677728, 0.0004435778, 0.08578959, -0.09947223, 0.002984044, -0.9479274, -0.1479151, -0.01382978, 0.08104679, -0.07184102, -0.0117549, -0.8459178, -0.2017452, -0.01952846, 0.1144171, -0.05183635, 0.1295028, -0.8215412, -0.1848757, 0.02102841, 0.1169696, -0.05419036, 0.1412393, -0.8191757, -0.174089, 0.04705517, 0.1188755, -0.06228295, 0.1766624, -0.774959, -0.1958458, -0.03026662, 0.1318613, -0.01859178, 0.1955083, -0.7368728, -0.1893542, 0.008128963, 0.1408763, -0.03940184, 0.2218747, -0.7336187, -0.1845918, 0.03422627, 0.1470504, -0.05746117, 0.2065393, -0.7151194, -0.2085144, -0.08517161, 0.1323087, -0.05477733, 0.3661354, -0.7618691, -0.1884413, -0.04539873, 0.1466124, 0.04783872, 0.2903262, -0.7113675, -0.1827525, -0.0176799, 0.1604252, 0.04324649, 0.346644, -0.7129155, -0.1774058, -0.000254795, 0.1704851, 0.01185982, 0.3154028, -0.7085985, -0.1311848, -0.03215255, 0.07192528, 0.2713876, -0.6409172, -0.7155373, -0.1370479, -0.03391016, 0.07874461, -0.07184102, -0.0117549, -0.8459178, -0.1683123, 0.07173842, 0.1225636, -0.06228295, 0.1766624, -0.774959, -0.1833313, 0.05853477, 0.1527068, -0.05746117, 0.2065393, -0.7151194, -0.1740608, 0.01979604, 0.1801442, 0.01185983, 0.3154029, -0.7085985
-0.2285827, -0.119992, 0.1129454, -0.02102615, 0.1425887, -0.7998838, -0.2285827, -0.119992, 0.1129454, -0.02102615, 0.1425887, -0.7998838, -0.2131769, -0.1018279, 0.1023677, -0.1063869, -0.437331, -0.7353535, -0.201357, -0.08521775, 0.08709389, 0.01866645, -0.6947187, -0.634945, -0.175644, -0.0700734, 0.07225949, 0.178399, -0.6009102, -0.7473359, -0.146576, -0.0512373, 0.07232128, 0.2689451, -0.6225397, -0.7339286, -0.1949458, -0.02488587, 0.1009526, -0.07684597, 0.04792971, -0.9717509, -0.160223, -0.008133411, 0.09595878, -0.1028139, 0.02428268, -0.9438037, -0.140725, -0.02273478, 0.0907454, -0.08019017, 0.007957337, -0.8400881, -0.1951221, -0.02840435, 0.1235816, -0.03546242, 0.1467998, -0.8283523, -0.1768432, 0.01137777, 0.1279656, -0.03763226, 0.1585147, -0.8258416, -0.1651447, 0.03689348, 0.1310433, -0.04535275, 0.1931439, -0.7846383, -0.1896915, -0.0402403, 0.1404586, 0.003275223, 0.2114286, -0.7396276, -0.1823568, -0.002517715, 0.1514514, -0.01817908, 0.237977, -0.7377585, -0.1768592, 0.02309599, 0.1589069, -0.03628029, 0.2224185, -0.7208614, -0.2037463, -0.09474033, 0.1377279, -0.0313246, 0.3850139, -0.758419, -0.182837, -0.05635179, 0.154417, 0.08142658, 0.3062043, -0.7026307, -0.1773297, -0.02973032, 0.1703059, 0.07423688, 0.3634641, -0.7048319, -0.1719629, -0.01310896, 0.1816351, 0.04251702, 0.3322564, -0.7035346, -0.1251014, -0.04053518, 0.08014328, 0.2689451, -0.6225397, -0.7339286, -0.1303033, -0.04294948, 0.08768405, -0.08019017, 0.007957337, -0.8400881, -0.1582763, 0.06112265, 0.1357348, -0.04535275, 0.1931439, -0.7846383, -0.1748529, 0.04705607, 0.1657168, -0.03628029, 0.2224185, -0.7208614, -0.1684528, 0.006196178, 0.1926584, 0.04251701, 0.3322564, -0.7035346
-0.2300803, -0.1308382, 0.1298477, -0.4685602, 0.7873433, -0.2219394, -0.2300803, -0.1308382, 0.1298477, -0.4685602, 0.7873433, -0.2219394, -0.2379942, -0.1067417, 0.1358384, -0.3663387, 0.4128792, -0.309854, -0.2498914, -0.08681491, 0.1463396, -0.2585164, 0.1101896, -0.4655259, -0.2679633, -0.058877, 0.144482, -0.3243001, 0.1109257, -0.6760517, -0.2700865, -0.02583615, 0.1343064, -0.3177857, -0.03309792, -0.7790382, -0.2189138, -0.03931183, 0.1724935, -0.7690848, 0.4505097, -0.3864285, -0.2303986, -0.005249083, 0.157692, -0.8995926, 0.0055478, -0.4366221, -0.2458099, -0.00517416, 0.1381207, -0.8644797, -0.204758, -0.4406256, -0.1997459, -0.0427163, 0.1604318, -0.5485017, 0.7433513, -0.2633333, -0.1890175, -0.000396654, 0.1659002, -0.570392, 0.7323814, -0.2644458, -0.1830133, 0.0271, 0.1681942, -0.5558601, 0.7611393, -0.2271161, -0.1901424, -0.04786576, 0.1421106, -0.398059, 0.8586502, -0.2139768, -0.1675139, -0.01640589, 0.1519012, -0.4334604, 0.852522, -0.1929153, -0.1531321, 0.006029204, 0.1575314, -0.4495469, 0.8418163, -0.1781268, -0.2066723, -0.09630249, 0.1185331, -0.5059217, 0.8463678, -0.123706, -0.1849964, -0.05494111, 0.1214985, -0.3133721, 0.9088782, -0.2545702, -0.1603813, -0.03532826, 0.1224592, -0.3296419, 0.9138222, -0.2324256, -0.1441803, -0.02232721, 0.1210711, -0.3415629, 0.9098833, -0.2166533, -0.2652336, -0.0044723, 0.1217798, -0.3177857, -0.03309792, -0.7790382, -0.2579152, -0.01497661, 0.1212686, -0.8644797, -0.204758, -0.4406256, -0.1752589, 0.05125377, 0.1717582, -0.5558601, 0.7611393, -0.2271161, -0.1398888, 0.02613164, 0.1642393, -0.4495469, 0.8418163, -0.1781268, -0.1266904, -0.008217417, 0.1223119, -0.3415629, 0.9098833, -0.2166533
-0.2258471, -0.1293253, 0.1355846, -0.3757454, 0.727303, -0.3808441, -0.2258471, -0.1293253, 0.1355846, -0.3757454, 0.727303, -0.3808441, -0.2310898, -0.1037987, 0.1358353, -0.3163672, 0.2629117, -0.4610672, -0.2422113, -0.08109184, 0.1389354, -0.2126297, -0.07202666, -0.5760953, -0.2530704, -0.05193453, 0.1269981, -0.2216799, -0.04484623, -0.7804577, -0.2453722, -0.02110998, 0.1132019, -0.1974528, -0.1712537, -0.8616608, -0.2152499, -0.03454772, 0.1705895, -0.6726816, 0.3984287, -0.577765, -0.2158286, -0.003180206, 0.147633, -0.789762, 0.05263287, -0.6063663, -0.2222829, -0.003415108, 0.123574, -0.7681089, -0.1067715, -0.5927494, -0.1939119, -0.04211843, 0.1671462, -0.458267, 0.6890571, -0.4328657, -0.1796409, -0.00071235, 0.1713686, -0.4771541, 0.6840551, -0.4354159, -0.1707449, 0.02605331, 0.172725, -0.4654638, 0.7178491, -0.3965324, -0.1793572, -0.05114254, 0.1544521, -0.297704, 0.8091784, -0.3562177, -0.156841, -0.02162927, 0.1692716, -0.3336754, 0.8121613, -0.3396872, -0.1418609, -0.0006281137, 0.1780133, -0.3544517, 0.7998218, -0.3293374, -0.1943207, -0.1001164, 0.1309381, -0.412609, 0.8363591, -0.2787002, -0.1683845, -0.06184033, 0.1381255, -0.186021, 0.8774115, -0.3698352, -0.1427767, -0.04591548, 0.147188, -0.2146447, 0.8935341, -0.3489262, -0.1252825, -0.03525964, 0.150907, -0.234617, 0.8823817, -0.3392715, -0.2324002, -0.003006309, 0.1013333, -0.1974528, -0.1712537, -0.8616608, -0.2281866, -0.01221763, 0.10322, -0.7681089, -0.1067715, -0.5927494, -0.1611753, 0.0495322, 0.1763859, -0.4654638, 0.7178491, -0.3965324, -0.1287239, 0.01839404, 0.1875035, -0.3544517, 0.7998218, -0.3293374, -0.107406, -0.02320216, 0.1573545, -0.234617, 0.8823817, -0.3392715
-0.2424941, -0.1166775, 0.100449, 0.1240708, -0.1591708, -0.8263546, -0.2424941, -0.1166775, 0.100449, 0.1240708, -0.1591708, -0.8263546, -0.2200993, -0.1041134, 0.09600227, -0.006510645, -0.6669896, -0.6900907, -0.1986455, -0.09446177, 0.08623094, 0.09456936, -0.8535367, -0.5056625, -0.1663721, -0.08629505, 0.08471419, 0.2918649, -0.7644795, -0.5742711, -0.1376774, -0.0698645, 0.09502918, 0.4369892, -0.7184848, -0.5169169, -0.1863133, -0.03347003, 0.08493549, 0.1787058, -0.1612293, -0.9636124, -0.1509727, -0.02251823, 0.09686663, 0.2262094, -0.02473594, -0.8937523, -0.1360558, -0.03945207, 0.1074157, 0.2510683, 0.03766996, -0.769365, -0.1988515, -0.02888927, 0.1035445, 0.1403703, -0.1367663, -0.8552093, -0.1768441, 0.008908741, 0.1083339, 0.1393716, -0.1242794, -0.8587082, -0.1625656, 0.03303089, 0.1117433, 0.1163887, -0.098146, -0.8330437, -0.205756, -0.03437467, 0.122952, 0.1392055, -0.0969996, -0.7686927, -0.1977381, 0.004601181, 0.1267241, 0.1226176, -0.0645365, -0.7922338, -0.1905584, 0.03067926, 0.1299267, 0.09620042, -0.08002193, -0.7889153, -0.2287226, -0.08565416, 0.1272177, 0.130145, 0.09305781, -0.8251147, -0.2109901, -0.0449487, 0.1419834, 0.2150056, -0.01158561, -0.7150537, -0.2102699, -0.01484236, 0.1511801, 0.2130125, 0.06295862, -0.7532113, -0.2073015, 0.004016712, 0.1594837, 0.1757329, 0.03341214, -0.7672636, -0.1227071, -0.05768943, 0.1112938, 0.4369892, -0.7184848, -0.5169169, -0.1309793, -0.060164, 0.1158929, 0.2510683, 0.03766996, -0.769365, -0.1532469, 0.05678596, 0.1140006, 0.1163887, -0.098146, -0.8330437, -0.1857408, 0.05516877, 0.1311677, 0.09620042, -0.08002193, -0.7889153, -0.2044004, 0.02535469, 0.1660255, 0.1757329, 0.03341214, -0.7672636
