b_l_wrist_Position_X, b_l_wrist_Position_Y, b_l_wrist_Position_Z, b_l_wrist_Rotation_X, b_l_wrist_Rotation_Y, b_l_wrist_Rotation_Z, b_l_forearm_stub_Position_X, b_l_forearm_stub_Position_Y, b_l_forearm_stub_Position_Z, b_l_forearm_stub_Rotation_X, b_l_forearm_stub_Rotation_Y, b_l_forearm_stub_Rotation_Z, b_l_thumb0_Position_X, b_l_thumb0_Position_Y, b_l_thumb0_Position_Z, b_l_thumb0_Rotation_X, b_l_thumb0_Rotation_Y, b_l_thumb0_Rotation_Z, b_l_thumb1_Position_X, b_l_thumb1_Position_Y, b_l_thumb1_Position_Z, b_l_thumb1_Rotation_X, b_l_thumb1_Rotation_Y, b_l_thumb1_Rotation_Z, b_l_thumb2_Position_X, b_l_thumb2_Position_Y, b_l_thumb2_Position_Z, b_l_thumb2_Rotation_X, b_l_thumb2_Rotation_Y, b_l_thumb2_Rotation_Z, b_l_thumb3_Position_X, b_l_thumb3_Position_Y, b_l_thumb3_Position_Z, b_l_thumb3_Rotation_X, b_l_thumb3_Rotation_Y, b_l_thumb3_Rotation_Z, b_l_index1_Position_X, b_l_index1_Position_Y, b_l_index1_Position_Z, b_l_index1_Rotation_X, b_l_index1_Rotation_Y, b_l_index1_Rotation_Z, b_l_index2_Position_X, b_l_index2_Position_Y, b_l_index2_Position_Z, b_l_index2_Rotation_X, b_l_index2_Rotation_Y, b_l_index2_Rotation_Z, b_l_index3_Position_X, b_l_index3_Position_Y, b_l_index3_Position_Z, b_l_index3_Rotation_X, b_l_index3_Rotation_Y, b_l_index3_Rotation_Z, b_l_middle1_Position_X, b_l_middle1_Position_Y, b_l_middle1_Position_Z, b_l_middle1_Rotation_X, b_l_middle1_Rotation_Y, b_l_middle1_Rotation_Z, b_l_middle2_Position_X, b_l_middle2_Position_Y, b_l_middle2_Position_Z, b_l_middle2_Rotation_X, b_l_middle2_Rotation_Y, b_l_middle2_Rotation_Z, b_l_middle3_Position_X, b_l_middle3_Position_Y, b_l_middle3_Position_Z, b_l_middle3_Rotation_X, b_l_middle3_Rotation_Y, b_l_middle3_Rotation_Z, b_l_ring1_Position_X, b_l_ring1_Position_Y, b_l_ring1_Position_Z, b_l_ring1_Rotation_X, b_l_ring1_Rotation_Y, b_l_ring1_Rotation_Z, b_l_ring2_Position_X, b_l_ring2_Position_Y, b_l_ring2_Position_Z, b_l_ring2_Rotation_X, b_l_ring2_Rotation_Y, b_l_ring2_Rotation_Z, b_l_ring3_Position_X, b_l_ring3_Position_Y, b_l_ring3_Position_Z, b_l_ring3_Rotation_X, b_l_ring3_Rotation_Y, b_l_ring3_Rotation_Z, b_l_pinky0_Position_X, b_l_pinky0_Position_Y, b_l_pinky0_Position_Z, b_l_pinky0_Rotation_X, b_l_pinky0_Rotation_Y, b_l_pinky0_Rotation_Z, b_l_pinky1_Position_X, b_l_pinky1_Position_Y, b_l_pinky1_Position_Z, b_l_pinky1_Rotation_X, b_l_pinky1_Rotation_Y, b_l_pinky1_Rotation_Z, b_l_pinky2_Position_X, b_l_pinky2_Position_Y, b_l_pinky2_Position_Z, b_l_pinky2_Rotation_X, b_l_pinky2_Rotation_Y, b_l_pinky2_Rotation_Z, b_l_pinky3_Position_X, b_l_pinky3_Position_Y, b_l_pinky3_Position_Z, b_l_pinky3_Rotation_X, b_l_pinky3_Rotation_Y, b_l_pinky3_Rotation_Z, l_thumb_finger_tip_marker_Position_X, l_thumb_finger_tip_marker_Position_Y, l_thumb_finger_tip_marker_Position_Z, l_thumb_finger_tip_marker_Rotation_X, l_thumb_finger_tip_marker_Rotation_Y, l_thumb_finger_tip_marker_Rotation_Z, l_index_finger_tip_marker_Position_X, l_index_finger_tip_marker_Position_Y, l_index_finger_tip_marker_Position_Z, l_index_finger_tip_marker_Rotation_X, l_index_finger_tip_marker_Rotation_Y, l_index_finger_tip_marker_Rotation_Z, l_middle_finger_tip_marker_Position_X, l_middle_finger_tip_marker_Position_Y, l_middle_finger_tip_marker_Position_Z, l_middle_finger_tip_marker_Rotation_X, l_middle_finger_tip_marker_Rotation_Y, l_middle_finger_tip_marker_Rotation_Z, l_ring_finger_tip_marker_Position_X, l_ring_finger_tip_marker_Position_Y, l_ring_finger_tip_marker_Position_Z, l_ring_finger_tip_marker_Rotation_X, l_ring_finger_tip_marker_Rotation_Y, l_ring_finger_tip_marker_Rotation_Z, l_pinky_finger_tip_marker_Position_X, l_pinky_finger_tip_marker_Position_Y, l_pinky_finger_tip_marker_Position_Z, l_pinky_finger_tip_marker_Rotation_X, l_pinky_finger_tip_marker_Rotation_Y, l_pinky_finger_tip_marker_Rotation_Z
-0.2787733, -0.1754565, 0.1352802, -0.3200625, 0.7245123, -0.5383667, -0.2787733, -0.1754565, 0.1352802, -0.3200625, 0.7245123, -0.5383667, -0.2757647, -0.1499359, 0.1279025, -0.3375333, 0.3245651, -0.4910102, -0.283791, -0.1253579, 0.1317019, -0.1917217, 0.1907608, -0.6373836, -0.2877125, -0.0914119, 0.1327575, -0.2134369, 0.285403, -0.6529556, -0.2871578, -0.0560701, 0.1364085, -0.1623176, 0.2067905, -0.5644962, -0.2352732, -0.08095154, 0.1414717, -0.6735225, 0.359909, -0.6400814, -0.2321434, -0.06592721, 0.1046613, -0.7298224, -0.2310398, -0.3583573, -0.2484072, -0.08433337, 0.09760408, -0.5714127, -0.4945051, -0.1450986, -0.2172541, -0.09599292, 0.1404396, -0.6978223, 0.3836488, -0.578961, -0.2188446, -0.0809762, 0.09790171, -0.759454, -0.2337541, -0.2633004, -0.2406311, -0.09960696, 0.09372497, -0.5531217, -0.4949303, -0.01836671, -0.207133, -0.1127712, 0.1307286, -0.6850899, 0.450822, -0.5367064, -0.2078469, -0.09617409, 0.09323916, -0.8100002, -0.1137012, -0.2221463, -0.2323091, -0.1079092, 0.08655533, -0.687672, -0.411999, 0.03292997, -0.2393254, -0.1600157, 0.1221606, -0.3071208, 0.8473429, -0.4213491, -0.2013544, -0.1309539, 0.1179342, -0.3752834, 0.7590378, -0.5215462, -0.1788617, -0.1160867, 0.1001425, -0.3960178, 0.7515363, -0.4944286, -0.1656512, -0.1072624, 0.08586757, -0.4063674, 0.7663657, -0.4780948, -0.2948488, -0.03181215, 0.1411716, -0.1623177, 0.2067906, -0.5644962, -0.2595933, -0.1024921, 0.1075727, -0.5714127, -0.4945051, -0.1450986, -0.2544073, -0.1153238, 0.1096579, -0.5531217, -0.4949303, -0.01836671, -0.2500528, -0.121716, 0.09887508, -0.687672, -0.411999, 0.03292997, -0.1501686, -0.09599364, 0.07296817, -0.4063674, 0.7663657, -0.4780948
-0.2788046, -0.1759074, 0.1350686, -0.3253423, 0.7283348, -0.5348345, -0.2788046, -0.1759074, 0.1350686, -0.3253423, 0.7283348, -0.5348345, -0.2759029, -0.1503919, 0.1276308, -0.3419936, 0.334401, -0.4866563, -0.283813, -0.1258208, 0.1317085, -0.2023837, 0.1958873, -0.6336355, -0.2879247, -0.09189237, 0.132591, -0.2243706, 0.2897788, -0.6495144, -0.2875096, -0.05652006, 0.1359538, -0.1719787, 0.2131914, -0.5596902, -0.2349263, -0.08151776, 0.140272, -0.6794816, 0.3618446, -0.6323776, -0.232467, -0.06626673, 0.103504, -0.7353684, -0.2335298, -0.3519948, -0.2489027, -0.08457766, 0.09659893, -0.5750211, -0.4998519, -0.1400509, -0.2169754, -0.09660534, 0.1388142, -0.703228, 0.3841182, -0.5706158, -0.2193995, -0.08148054, 0.09635404, -0.7625691, -0.2401191, -0.2522109, -0.2413425, -0.1000559, 0.09279548, -0.5508189, -0.5052913, -0.006880105, -0.2071276, -0.113406, 0.128864, -0.6900752, 0.4503382, -0.5278569, -0.20865, -0.09682942, 0.09138954, -0.8128773, -0.1172349, -0.2108312, -0.2333403, -0.1084013, 0.0852852, -0.687853, -0.4177217, 0.0438902, -0.2396341, -0.1605638, 0.1210355, -0.3109076, 0.8489341, -0.4177122, -0.2016969, -0.1315987, 0.1159321, -0.3801731, 0.7574766, -0.5166273, -0.1796871, -0.1170536, 0.09729057, -0.3991522, 0.7493514, -0.4890932, -0.1668408, -0.1084522, 0.08255465, -0.4088808, 0.7652233, -0.4729949, -0.2953123, -0.03230363, 0.1407465, -0.1719787, 0.2131914, -0.5596902, -0.2599271, -0.1027662, 0.1066926, -0.5750211, -0.4998519, -0.1400509, -0.2546207, -0.1156139, 0.1092969, -0.5508189, -0.5052913, -0.006880105, -0.2508363, -0.1220867, 0.09808521, -0.687853, -0.4177217, 0.0438902, -0.151635, -0.09743069, 0.06912329, -0.4088808, 0.7652233, -0.4729949
-0.2787703, -0.1762452, 0.1355384, -0.3277124, 0.7270776, -0.5352252, -0.2787703, -0.1762452, 0.1355384, -0.3277124, 0.7270776, -0.5352252, -0.2759799, -0.1507443, 0.1280086, -0.3435999, 0.3344219, -0.4841792, -0.2840149, -0.1262171, 0.1321061, -0.2068349, 0.1933218, -0.6303903, -0.2884754, -0.0923273, 0.1327453, -0.2300851, 0.2858791, -0.6496196, -0.2882101, -0.05691304, 0.1356505, -0.1787047, 0.2098704, -0.5606054, -0.2352406, -0.08167291, 0.1403366, -0.6812586, 0.3581781, -0.6325507, -0.2329744, -0.06657195, 0.1034943, -0.7338785, -0.2374284, -0.3520815, -0.2493131, -0.08501866, 0.09672175, -0.571743, -0.5033671, -0.139531, -0.2172354, -0.09669724, 0.1388951, -0.7040041, 0.3820148, -0.5711173, -0.2197533, -0.08167977, 0.0964023, -0.7614239, -0.2425953, -0.2523447, -0.2416231, -0.1003591, 0.092939, -0.5483873, -0.5073527, -0.006681666, -0.2073432, -0.1134942, 0.1289828, -0.6916777, 0.4469104, -0.5276229, -0.209138, -0.0971647, 0.09141202, -0.8114815, -0.1214144, -0.2085269, -0.2338266, -0.1088732, 0.08556674, -0.6844286, -0.4214552, 0.04711489, -0.2396854, -0.1608011, 0.1213774, -0.3130735, 0.8477203, -0.4186787, -0.2018684, -0.13171, 0.1161021, -0.3812125, 0.7553176, -0.5176694, -0.18, -0.1173631, 0.09714328, -0.3940295, 0.7498667, -0.4917658, -0.1670087, -0.1089749, 0.08241157, -0.400506, 0.7674168, -0.4767883, -0.2960292, -0.03263606, 0.1400979, -0.1787047, 0.2098704, -0.5606053, -0.2601789, -0.1032182, 0.1069664, -0.571743, -0.5033671, -0.139531, -0.2547911, -0.1159107, 0.1095346, -0.5483873, -0.5073527, -0.006681666, -0.2511575, -0.122531, 0.09861858, -0.6844286, -0.4214552, 0.04711489, -0.151494, -0.09822863, 0.06911106, -0.400506, 0.7674168, -0.4767883
-0.2781703, -0.1780197, 0.1367619, -0.3352431, 0.7293236, -0.5364946, -0.2781703, -0.1780197, 0.1367619, -0.3352431, 0.7293236, -0.5364946, -0.2753846, -0.1526669, 0.1287459, -0.354939, 0.3458995, -0.4831155, -0.2830653, -0.1280246, 0.1328324, -0.225286, 0.1991203, -0.6294433, -0.2874517, -0.09411913, 0.1328918, -0.2485368, 0.290044, -0.6502473, -0.286958, -0.05864763, 0.1349434, -0.1970986, 0.2170127, -0.5613252, -0.23355, -0.08385251, 0.1385936, -0.6908233, 0.3528559, -0.6234493, -0.2324974, -0.0692734, 0.1014874, -0.7383873, -0.2413416, -0.3424037, -0.2490839, -0.08763064, 0.09508413, -0.5764136, -0.5067341, -0.13371, -0.2157576, -0.09908709, 0.1367676, -0.7111265, 0.3767521, -0.5609665, -0.2196734, -0.08472967, 0.09415258, -0.7619067, -0.2524514, -0.2341568, -0.2417732, -0.1033161, 0.09183991, -0.5417069, -0.5201643, 0.01277965, -0.2063833, -0.1161364, 0.1267829, -0.6960715, 0.4436559, -0.5178834, -0.2092509, -0.1003499, 0.089047, -0.8118969, -0.1250027, -0.1916814, -0.2342668, -0.1117749, 0.08410178, -0.6823578, -0.425725, 0.06485212, -0.2394439, -0.1632074, 0.1210283, -0.3165292, 0.8475131, -0.4201725, -0.2015402, -0.1346024, 0.1140059, -0.3779482, 0.7530629, -0.5174217, -0.1799081, -0.1212091, 0.09410188, -0.3850369, 0.7491984, -0.4919138, -0.1669534, -0.113513, 0.07896569, -0.3909388, 0.7677618, -0.4779759, -0.2945386, -0.03424108, 0.1390839, -0.1970986, 0.2170127, -0.5613252, -0.2598855, -0.1058163, 0.1054209, -0.5764136, -0.5067341, -0.13371, -0.2542859, -0.1183971, 0.1093514, -0.5417069, -0.5201643, 0.01277965, -0.2513587, -0.1250123, 0.09788167, -0.6823578, -0.425725, 0.06485212, -0.1513483, -0.1035224, 0.06519037, -0.3909388, 0.7677618, -0.4779759
-0.2762106, -0.1788299, 0.1377271, -0.351359, 0.7251968, -0.5338214, -0.2762106, -0.1788299, 0.1377271, -0.351359, 0.7251968, -0.5338214, -0.2741998, -0.1535183, 0.1293571, -0.3696875, 0.3461976, -0.4742825, -0.2823116, -0.1289787, 0.1332226, -0.2366273, 0.2028421, -0.6222026, -0.2872155, -0.09514435, 0.1331158, -0.2600002, 0.2935218, -0.6420264, -0.2873326, -0.05966008, 0.1349957, -0.2049339, 0.2237374, -0.546524, -0.2337594, -0.08364806, 0.1374352, -0.7001267, 0.3428072, -0.6190169, -0.2337037, -0.06922053, 0.100255, -0.7377374, -0.2545242, -0.3415235, -0.2499868, -0.08796051, 0.09419082, -0.5724844, -0.516822, -0.136874, -0.2156647, -0.09849108, 0.135371, -0.7175828, 0.3691617, -0.5589342, -0.220297, -0.08420149, 0.0928051, -0.7605734, -0.2631194, -0.2347442, -0.2420622, -0.1032106, 0.09077148, -0.5364438, -0.5291193, 0.009771407, -0.206129, -0.1154397, 0.1253677, -0.7006477, 0.4377253, -0.5164654, -0.2095456, -0.09982985, 0.08760409, -0.8124528, -0.1249146, -0.1953471, -0.2344835, -0.1113414, 0.08246887, -0.6851591, -0.4227614, 0.05815096, -0.238211, -0.1633232, 0.1209267, -0.3315476, 0.8420718, -0.4206229, -0.2011537, -0.1339423, 0.1126949, -0.3929101, 0.7415248, -0.5182613, -0.1805795, -0.120638, 0.09164266, -0.4024576, 0.7344451, -0.4917301, -0.1685675, -0.1130188, 0.07571098, -0.4102882, 0.753509, -0.4768773, -0.2955729, -0.03551857, 0.1394197, -0.2049339, 0.2237374, -0.546524, -0.260265, -0.1063856, 0.1046367, -0.5724844, -0.516822, -0.136874, -0.2540813, -0.1185154, 0.108434, -0.5364438, -0.5291193, 0.009771407, -0.2517285, -0.1247285, 0.09590904, -0.6851591, -0.4227614, 0.05815096, -0.1539615, -0.1030043, 0.06089659, -0.4102882, 0.753509, -0.4768773
-0.2770268, -0.1808782, 0.1398972, -0.3167225, 0.7156593, -0.5787816, -0.2770268, -0.1808782, 0.1398972, -0.3167225, 0.7156593, -0.5787816, -0.2723263, -0.1565993, 0.1297374, -0.3692743, 0.3355825, -0.522939, -0.2782804, -0.1312345, 0.1317652, -0.239099, 0.1873115, -0.6644597, -0.2798809, -0.09714963, 0.1296475, -0.2562652, 0.2789806, -0.6846039, -0.2765753, -0.0617697, 0.1295263, -0.2095832, 0.2077422, -0.5930605, -0.2255909, -0.09042189, 0.134084, -0.6649324, 0.3597751, -0.640025, -0.2224746, -0.07833925, 0.09620494, -0.7309474, -0.195473, -0.3422107, -0.2400919, -0.09538694, 0.08898626, -0.5947671, -0.4508263, -0.1342337, -0.2089601, -0.1070154, 0.1338222, -0.6779702, 0.390982, -0.5774198, -0.2101987, -0.09520714, 0.09027301, -0.7514209, -0.2103809, -0.2234461, -0.2337106, -0.1119281, 0.08766478, -0.5491012, -0.4757376, 0.038029, -0.2008058, -0.1255147, 0.1254836, -0.6522517, 0.4661748, -0.5370478, -0.2003351, -0.1121332, 0.08672609, -0.7959583, -0.05905217, -0.1929205, -0.2260028, -0.1209133, 0.08002809, -0.6981367, -0.3508517, 0.07245833, -0.2372128, -0.1703714, 0.123431, -0.2859295, 0.8389829, -0.4607642, -0.1972571, -0.1453364, 0.1144288, -0.3377789, 0.7424783, -0.5449985, -0.1747549, -0.1359618, 0.09323297, -0.3584697, 0.7322371, -0.5090126, -0.1621425, -0.1307529, 0.07680273, -0.3733649, 0.7493399, -0.4949389, -0.2824827, -0.03671959, 0.1323339, -0.2095832, 0.2077422, -0.5930605, -0.2533583, -0.1125932, 0.09805207, -0.5947671, -0.4508263, -0.1342337, -0.2484921, -0.1250009, 0.1050219, -0.5491012, -0.4757376, 0.038029, -0.245906, -0.1314199, 0.09230486, -0.6981367, -0.3508517, 0.07245833, -0.1470082, -0.1232213, 0.06107628, -0.3733649, 0.7493399, -0.4949389
-0.2840018, -0.1775371, 0.1420404, -0.320032, 0.6949758, -0.5562294, -0.2840018, -0.1775371, 0.1420404, -0.320032, 0.6949758, -0.5562294, -0.2815874, -0.1521504, 0.1340111, -0.3324051, 0.2838891, -0.4812187, -0.2914048, -0.1281075, 0.1369248, -0.1751946, 0.1671335, -0.6227213, -0.2971679, -0.09442479, 0.137968, -0.200716, 0.2609505, -0.6451428, -0.2982833, -0.05908941, 0.1415523, -0.1536522, 0.1789095, -0.562349, -0.2456013, -0.08085164, 0.1482944, -0.6518931, 0.339343, -0.6756763, -0.239883, -0.06632308, 0.1115964, -0.7113224, -0.1946092, -0.4286579, -0.2541114, -0.08483341, 0.1012031, -0.5764008, -0.4399932, -0.2280779, -0.2268783, -0.09501167, 0.1492618, -0.6770136, 0.3683965, -0.6182514, -0.2252577, -0.08108845, 0.1063547, -0.7424616, -0.2017558, -0.3263018, -0.2456995, -0.1001493, 0.09873754, -0.5597215, -0.4454679, -0.08227417, -0.2152237, -0.1115749, 0.1410108, -0.6793648, 0.4174671, -0.5728673, -0.2150223, -0.0972307, 0.1025968, -0.7848822, -0.1286624, -0.2587515, -0.238298, -0.1108005, 0.09518839, -0.6575214, -0.4166611, 0.007805422, -0.2443701, -0.1606011, 0.1315914, -0.311618, 0.8275836, -0.4454216, -0.2075734, -0.1298537, 0.1293893, -0.4201683, 0.7208043, -0.5446844, -0.1871422, -0.1132769, 0.110647, -0.4517424, 0.7043635, -0.5183142, -0.1758321, -0.1035928, 0.09533495, -0.4737579, 0.7137666, -0.4967351, -0.3067129, -0.03493455, 0.1455236, -0.1536522, 0.1789095, -0.562349, -0.2660433, -0.1041506, 0.1074256, -0.5764008, -0.4399932, -0.2280779, -0.2614059, -0.1168962, 0.1115246, -0.5597215, -0.4454679, -0.08227417, -0.2557969, -0.1250198, 0.1073885, -0.6575214, -0.4166611, 0.007805422, -0.1630489, -0.09104374, 0.08076778, -0.4737578, 0.7137666, -0.4967352
-0.2900546, -0.178718, 0.1403956, -0.3569998, 0.7154675, -0.5292429, -0.2900546, -0.178718, 0.1403956, -0.3569998, 0.7154675, -0.5292429, -0.2889405, -0.153229, 0.132405, -0.363167, 0.3291467, -0.4590409, -0.2983978, -0.1292036, 0.136439, -0.2092531, 0.2144831, -0.611587, -0.303865, -0.0955141, 0.1384272, -0.2385492, 0.3023445, -0.6384127, -0.3039373, -0.06015237, 0.1419233, -0.188843, 0.2258109, -0.5627444, -0.2521405, -0.08166815, 0.1427645, -0.6979201, 0.330737, -0.63112, -0.2515263, -0.06688968, 0.1057274, -0.7325038, -0.2488254, -0.375834, -0.2666981, -0.08600568, 0.09814464, -0.5776477, -0.4990405, -0.1841841, -0.2333063, -0.09562346, 0.1411768, -0.7076356, 0.3776341, -0.577967, -0.235414, -0.07934262, 0.09912926, -0.7645484, -0.2376114, -0.2858195, -0.2563788, -0.09858846, 0.09371813, -0.5628352, -0.4944797, -0.05252987, -0.2226363, -0.1119726, 0.1313226, -0.6842418, 0.4580601, -0.5402033, -0.2225019, -0.09396425, 0.09448358, -0.8195944, -0.07548526, -0.2617416, -0.2462974, -0.1047945, 0.0846213, -0.7218655, -0.3668397, -0.02377974, -0.2522548, -0.1612329, 0.1251601, -0.3431798, 0.8354707, -0.4195015, -0.2163511, -0.13005, 0.118618, -0.4239872, 0.7312291, -0.5202093, -0.1966259, -0.1141254, 0.09859753, -0.4771405, 0.698102, -0.4828121, -0.187209, -0.1045947, 0.08196478, -0.5062939, 0.704074, -0.457378, -0.3112318, -0.0357594, 0.1466203, -0.188843, 0.2258109, -0.5627444, -0.2770228, -0.1053774, 0.1066522, -0.5776477, -0.4990405, -0.1841841, -0.2699993, -0.1156774, 0.1083164, -0.5628352, -0.4944797, -0.05252987, -0.2656859, -0.1192068, 0.09320132, -0.7218655, -0.3668397, -0.02377974, -0.176668, -0.09218081, 0.06559798, -0.5062939, 0.7040741, -0.457378
-0.2979513, -0.1685772, 0.1550855, -0.1973427, 0.6571878, -0.6886801, -0.2979513, -0.1685772, 0.1550855, -0.1973427, 0.6571878, -0.6886801, -0.2864377, -0.147645, 0.1430828, -0.3305859, 0.2333885, -0.6539357, -0.2873732, -0.1217645, 0.1395813, -0.1850177, 0.07246066, -0.7664508, -0.2810349, -0.08883794, 0.1329114, -0.1908021, 0.1606601, -0.8116046, -0.2679218, -0.0561884, 0.1279379, -0.182874, 0.07425584, -0.7469949, -0.2298201, -0.089901, 0.1496099, -0.5101656, 0.4084461, -0.7312502, -0.2137435, -0.08467665, 0.1134882, -0.654018, -0.06121036, -0.3550898, -0.2326632, -0.09879476, 0.1036993, -0.5631025, -0.3122369, -0.08649492, -0.2171322, -0.1086336, 0.1559425, -0.5312923, 0.4410068, -0.6676516, -0.2044712, -0.104259, 0.1128372, -0.6865964, -0.06145442, -0.2599536, -0.2293062, -0.1168879, 0.1049038, -0.5453086, -0.3101018, 0.05531612, -0.2111073, -0.1294006, 0.1526738, -0.5124022, 0.5063426, -0.6337335, -0.1981496, -0.1227717, 0.1143385, -0.7206026, 0.05342826, -0.2395681, -0.2227252, -0.1293017, 0.1027548, -0.6672073, -0.2298955, 0.07688668, -0.2541988, -0.1676394, 0.1479075, -0.1549202, 0.8080304, -0.5625949, -0.2091324, -0.1512399, 0.1458294, -0.2405775, 0.7293354, -0.6293823, -0.1814774, -0.1447272, 0.1304577, -0.3492365, 0.6977607, -0.5609989, -0.1685948, -0.1409436, 0.113848, -0.425485, 0.6832108, -0.5227252, -0.2653729, -0.03067791, 0.1243317, -0.182874, 0.07425585, -0.7469949, -0.2513013, -0.1107839, 0.1116444, -0.5631025, -0.3122369, -0.08649492, -0.2507183, -0.1242735, 0.1182316, -0.5453086, -0.3101018, 0.05531612, -0.2459403, -0.1348084, 0.1121344, -0.6672073, -0.2298955, 0.07688668, -0.1564258, -0.1341826, 0.09542809, -0.425485, 0.6832108, -0.5227252
-0.2833173, -0.1826514, 0.1369087, -0.3535662, 0.741995, -0.5123497, -0.2833173, -0.1826514, 0.1369087, -0.3535662, 0.741995, -0.5123497, -0.2814555, -0.1570142, 0.1295567, -0.3555898, 0.3768572, -0.4517456, -0.2894996, -0.1328624, 0.1354659, -0.2227908, 0.252257, -0.6085066, -0.2940182, -0.09911875, 0.1385917, -0.2561301, 0.3347373, -0.6399123, -0.2924877, -0.06380437, 0.1422291, -0.2080536, 0.2596512, -0.576259, -0.2403079, -0.08774544, 0.1391083, -0.7053829, 0.3693945, -0.5983201, -0.2407514, -0.07122952, 0.1028101, -0.7611983, -0.2380354, -0.3326156, -0.2577566, -0.08904645, 0.09599237, -0.6009971, -0.5100748, -0.1365549, -0.2223947, -0.1025716, 0.135747, -0.7250689, 0.390111, -0.5400909, -0.2274606, -0.08553581, 0.09425457, -0.7810836, -0.2545639, -0.2335492, -0.2495148, -0.1040944, 0.09135714, -0.5586015, -0.5324249, 0.0033236, -0.2133388, -0.119121, 0.1246854, -0.6973075, 0.4724655, -0.5031109, -0.2152789, -0.1000836, 0.08841908, -0.8350188, -0.09440987, -0.207984, -0.2403058, -0.1103075, 0.08135457, -0.7178922, -0.406922, 0.03570624, -0.2458624, -0.1666186, 0.119394, -0.3354727, 0.8528084, -0.3965338, -0.2089477, -0.1370871, 0.1110605, -0.3892564, 0.7640987, -0.498934, -0.1874479, -0.1219098, 0.09232809, -0.429853, 0.7433143, -0.4644905, -0.1759887, -0.112561, 0.07691885, -0.4561825, 0.7504814, -0.4422192, -0.2980555, -0.03902578, 0.1472598, -0.2080536, 0.2596512, -0.576259, -0.2684018, -0.1077572, 0.1055229, -0.6009971, -0.5100748, -0.1365549, -0.2613801, -0.1202796, 0.1083252, -0.5586015, -0.5324249, 0.0033236, -0.2582945, -0.1243937, 0.09298344, -0.7178922, -0.4069219, 0.03570626, -0.1630103, -0.1005186, 0.06209874, -0.4561825, 0.7504815, -0.4422192
