b_l_wrist_Position_X, b_l_wrist_Position_Y, b_l_wrist_Position_Z, b_l_wrist_Rotation_X, b_l_wrist_Rotation_Y, b_l_wrist_Rotation_Z, b_l_forearm_stub_Position_X, b_l_forearm_stub_Position_Y, b_l_forearm_stub_Position_Z, b_l_forearm_stub_Rotation_X, b_l_forearm_stub_Rotation_Y, b_l_forearm_stub_Rotation_Z, b_l_thumb0_Position_X, b_l_thumb0_Position_Y, b_l_thumb0_Position_Z, b_l_thumb0_Rotation_X, b_l_thumb0_Rotation_Y, b_l_thumb0_Rotation_Z, b_l_thumb1_Position_X, b_l_thumb1_Position_Y, b_l_thumb1_Position_Z, b_l_thumb1_Rotation_X, b_l_thumb1_Rotation_Y, b_l_thumb1_Rotation_Z, b_l_thumb2_Position_X, b_l_thumb2_Position_Y, b_l_thumb2_Position_Z, b_l_thumb2_Rotation_X, b_l_thumb2_Rotation_Y, b_l_thumb2_Rotation_Z, b_l_thumb3_Position_X, b_l_thumb3_Position_Y, b_l_thumb3_Position_Z, b_l_thumb3_Rotation_X, b_l_thumb3_Rotation_Y, b_l_thumb3_Rotation_Z, b_l_index1_Position_X, b_l_index1_Position_Y, b_l_index1_Position_Z, b_l_index1_Rotation_X, b_l_index1_Rotation_Y, b_l_index1_Rotation_Z, b_l_index2_Position_X, b_l_index2_Position_Y, b_l_index2_Position_Z, b_l_index2_Rotation_X, b_l_index2_Rotation_Y, b_l_index2_Rotation_Z, b_l_index3_Position_X, b_l_index3_Position_Y, b_l_index3_Position_Z, b_l_index3_Rotation_X, b_l_index3_Rotation_Y, b_l_index3_Rotation_Z, b_l_middle1_Position_X, b_l_middle1_Position_Y, b_l_middle1_Position_Z, b_l_middle1_Rotation_X, b_l_middle1_Rotation_Y, b_l_middle1_Rotation_Z, b_l_middle2_Position_X, b_l_middle2_Position_Y, b_l_middle2_Position_Z, b_l_middle2_Rotation_X, b_l_middle2_Rotation_Y, b_l_middle2_Rotation_Z, b_l_middle3_Position_X, b_l_middle3_Position_Y, b_l_middle3_Position_Z, b_l_middle3_Rotation_X, b_l_middle3_Rotation_Y, b_l_middle3_Rotation_Z, b_l_ring1_Position_X, b_l_ring1_Position_Y, b_l_ring1_Position_Z, b_l_ring1_Rotation_X, b_l_ring1_Rotation_Y, b_l_ring1_Rotation_Z, b_l_ring2_Position_X, b_l_ring2_Position_Y, b_l_ring2_Position_Z, b_l_ring2_Rotation_X, b_l_ring2_Rotation_Y, b_l_ring2_Rotation_Z, b_l_ring3_Position_X, b_l_ring3_Position_Y, b_l_ring3_Position_Z, b_l_ring3_Rotation_X, b_l_ring3_Rotation_Y, b_l_ring3_Rotation_Z, b_l_pinky0_Position_X, b_l_pinky0_Position_Y, b_l_pinky0_Position_Z, b_l_pinky0_Rotation_X, b_l_pinky0_Rotation_Y, b_l_pinky0_Rotation_Z, b_l_pinky1_Position_X, b_l_pinky1_Position_Y, b_l_pinky1_Position_Z, b_l_pinky1_Rotation_X, b_l_pinky1_Rotation_Y, b_l_pinky1_Rotation_Z, b_l_pinky2_Position_X, b_l_pinky2_Position_Y, b_l_pinky2_Position_Z, b_l_pinky2_Rotation_X, b_l_pinky2_Rotation_Y, b_l_pinky2_Rotation_Z, b_l_pinky3_Position_X, b_l_pinky3_Position_Y, b_l_pinky3_Position_Z, b_l_pinky3_Rotation_X, b_l_pinky3_Rotation_Y, b_l_pinky3_Rotation_Z, l_thumb_finger_tip_marker_Position_X, l_thumb_finger_tip_marker_Position_Y, l_thumb_finger_tip_marker_Position_Z, l_thumb_finger_tip_marker_Rotation_X, l_thumb_finger_tip_marker_Rotation_Y, l_thumb_finger_tip_marker_Rotation_Z, l_index_finger_tip_marker_Position_X, l_index_finger_tip_marker_Position_Y, l_index_finger_tip_marker_Position_Z, l_index_finger_tip_marker_Rotation_X, l_index_finger_tip_marker_Rotation_Y, l_index_finger_tip_marker_Rotation_Z, l_middle_finger_tip_marker_Position_X, l_middle_finger_tip_marker_Position_Y, l_middle_finger_tip_marker_Position_Z, l_middle_finger_tip_marker_Rotation_X, l_middle_finger_tip_marker_Rotation_Y, l_middle_finger_tip_marker_Rotation_Z, l_ring_finger_tip_marker_Position_X, l_ring_finger_tip_marker_Position_Y, l_ring_finger_tip_marker_Position_Z, l_ring_finger_tip_marker_Rotation_X, l_ring_finger_tip_marker_Rotation_Y, l_ring_finger_tip_marker_Rotation_Z, l_pinky_finger_tip_marker_Position_X, l_pinky_finger_tip_marker_Position_Y, l_pinky_finger_tip_marker_Position_Z, l_pinky_finger_tip_marker_Rotation_X, l_pinky_finger_tip_marker_Rotation_Y, l_pinky_finger_tip_marker_Rotation_Z
-0.1839809, -0.1504796, -0.1413766, -0.04773933, 0.5938185, -0.6083599, -0.1839809, -0.1504796, -0.1413766, -0.04773933, 0.5938185, -0.6083599, -0.1752197, -0.1258218, -0.1420346, -0.08309051, 0.05884384, -0.5859002, -0.1830624, -0.101467, -0.142105, 0.1104476, -0.03042965, -0.6709783, -0.1863335, -0.06833528, -0.1386361, 0.09663466, 0.07561077, -0.6414583, -0.192096, -0.03504314, -0.1303387, 0.1250161, -0.05525589, -0.4988869, -0.1520869, -0.06359005, -0.0984209, -0.3883136, 0.4067383, -0.8268368, -0.1248245, -0.05195553, -0.1238392, -0.573281, 0.01733921, -0.5481293, -0.1347957, -0.06815663, -0.1400925, -0.5253891, -0.1763007, -0.3252455, -0.1398052, -0.08020371, -0.0883069, -0.4331357, 0.4551198, -0.7760336, -0.1124608, -0.06655619, -0.1202319, -0.6309094, 0.030564, -0.5066847, -0.1262077, -0.08232726, -0.139383, -0.5645524, -0.1420292, -0.2610177, -0.1271551, -0.09741537, -0.08978602, -0.451959, 0.496641, -0.7395315, -0.1035836, -0.08216092, -0.1184832, -0.6831993, 0.07336527, -0.4674529, -0.1186911, -0.09364411, -0.1381902, -0.6620329, -0.1609187, -0.2041612, -0.1465949, -0.1395545, -0.1221877, -0.08027897, 0.7735156, -0.4822785, -0.1154908, -0.1154335, -0.09650533, -0.1777091, 0.7396943, -0.6122249, -0.08879916, -0.09877194, -0.09330286, -0.2274697, 0.7567179, -0.6002399, -0.07069384, -0.08846306, -0.09509243, -0.2383877, 0.7545691, -0.5856678, -0.2056957, -0.01368238, -0.1291953, 0.1250161, -0.05525589, -0.4988869, -0.1510004, -0.08435699, -0.142594, -0.5253891, -0.1763007, -0.3252455, -0.1469246, -0.09729882, -0.1423382, -0.5645524, -0.1420292, -0.2610177, -0.1400964, -0.1064648, -0.1409252, -0.6620329, -0.1609187, -0.2041612, -0.05202411, -0.0757522, -0.09414252, -0.2383877, 0.7545691, -0.5856678
-0.1891794, -0.1551132, -0.13337, 0.01345515, 0.5799691, -0.6175914, -0.1891794, -0.1551132, -0.13337, 0.01345515, 0.5799691, -0.6175914, -0.1786685, -0.1311694, -0.1321828, -0.03510597, 0.03562233, -0.6026589, -0.1856041, -0.1065436, -0.1318137, 0.1595859, -0.03958829, -0.6783306, -0.1881682, -0.07360037, -0.1264646, 0.1470842, 0.06478959, -0.6477281, -0.1934739, -0.04069845, -0.1164781, 0.1707067, -0.07480422, -0.5101539, -0.1556062, -0.07232618, -0.08406137, -0.3342733, 0.4307757, -0.8381648, -0.1252986, -0.06194334, -0.1063849, -0.5532616, 0.07524855, -0.5566289, -0.1345316, -0.07699496, -0.1241126, -0.5256795, -0.1139296, -0.3313687, -0.1455954, -0.09013775, -0.07349348, -0.3804545, 0.4840136, -0.786173, -0.1144525, -0.07761444, -0.1022417, -0.6138824, 0.08686286, -0.5132152, -0.1274465, -0.09186736, -0.1230378, -0.567394, -0.08349787, -0.2600147, -0.1341145, -0.108186, -0.0744441, -0.4008839, 0.525401, -0.7491322, -0.1070353, -0.0939953, -0.1004667, -0.6672572, 0.127611, -0.4732342, -0.1212486, -0.1038582, -0.1216603, -0.6672685, -0.1057204, -0.2056671, -0.1531947, -0.1476533, -0.1102458, -0.02087136, 0.7640762, -0.4856162, -0.123151, -0.1267898, -0.08073382, -0.1229525, 0.7459133, -0.6151744, -0.0956459, -0.1122824, -0.07496189, -0.1728125, 0.7683301, -0.6013417, -0.07674457, -0.1033371, -0.07497385, -0.1835805, 0.7643096, -0.5891989, -0.2064154, -0.01895337, -0.1149904, 0.1707067, -0.07480422, -0.5101539, -0.1513259, -0.0920461, -0.1288787, -0.5256795, -0.1139296, -0.3313687, -0.1488179, -0.1052109, -0.1282615, -0.567394, -0.08349787, -0.2600147, -0.1432534, -0.1149659, -0.1263983, -0.6672685, -0.1057204, -0.2056671, -0.05732681, -0.09211687, -0.07213093, -0.1835805, 0.7643096, -0.5891989
-0.1832202, -0.1542321, -0.136614, 0.07994974, 0.5149274, -0.6761769, -0.1832202, -0.1542321, -0.136614, 0.07994974, 0.5149274, -0.6761769, -0.1693015, -0.1320897, -0.1355284, -0.02187321, -0.0409079, -0.6697146, -0.1718503, -0.1067347, -0.1378295, 0.1629994, -0.1452236, -0.7240008, -0.1688199, -0.07343468, -0.1362907, 0.1571964, -0.03975691, -0.7105837, -0.1683669, -0.03914684, -0.1304124, 0.1514947, -0.1793092, -0.5756746, -0.1437246, -0.07330937, -0.08861604, -0.2417319, 0.4194129, -0.8729719, -0.1095202, -0.06947, -0.1070554, -0.4807127, 0.1347576, -0.5474877, -0.1186328, -0.08462791, -0.1247547, -0.4761663, -0.0326637, -0.3057962, -0.1381283, -0.09140892, -0.07556859, -0.2876278, 0.4799727, -0.8228926, -0.1021074, -0.08638641, -0.1006771, -0.5433708, 0.1545077, -0.5138828, -0.1141363, -0.1004436, -0.1221751, -0.52163, 0.01012283, -0.2472006, -0.1296224, -0.1109665, -0.07367021, -0.3075962, 0.5223652, -0.7909677, -0.09762502, -0.1033364, -0.09668735, -0.5991404, 0.1886975, -0.4742187, -0.1107301, -0.1131568, -0.1186027, -0.6257198, -0.02340747, -0.1843459, -0.1498505, -0.1501674, -0.1091329, 0.05503571, 0.7130201, -0.5462755, -0.1210114, -0.1314622, -0.07708132, -0.02622549, 0.7076785, -0.6658353, -0.09291687, -0.1203959, -0.06767181, -0.07963143, 0.740918, -0.6518308, -0.07309964, -0.1140908, -0.06548063, -0.09367629, 0.7343782, -0.644035, -0.176486, -0.01526968, -0.1329629, 0.1514947, -0.1793092, -0.5756746, -0.1366976, -0.09755663, -0.1309039, -0.4761663, -0.0326637, -0.3057962, -0.1361302, -0.1112106, -0.1300752, -0.52163, 0.01012283, -0.2472006, -0.1335603, -0.1213819, -0.1250188, -0.6257198, -0.02340747, -0.1843459, -0.05284305, -0.105344, -0.0605622, -0.0936763, 0.7343782, -0.644035
-0.1774542, -0.1469739, -0.1468677, 0.02211636, 0.5620205, -0.6420963, -0.1774542, -0.1469739, -0.1468677, 0.02211636, 0.5620205, -0.6420963, -0.1657934, -0.1235419, -0.1464629, -0.04606378, 0.0162542, -0.6280253, -0.171183, -0.09854339, -0.1472973, 0.1398674, -0.08017449, -0.6997037, -0.1714499, -0.06519006, -0.1444813, 0.1299627, 0.02625205, -0.6826923, -0.1737629, -0.03129281, -0.1369951, 0.1420749, -0.1098948, -0.5461931, -0.1406388, -0.06394456, -0.1003601, -0.3167463, 0.4187711, -0.8503115, -0.109526, -0.05595511, -0.1225604, -0.5319878, 0.08122221, -0.5505756, -0.1190476, -0.07137582, -0.1398118, -0.5082648, -0.09576199, -0.3268907, -0.1316943, -0.08176845, -0.08889475, -0.3653722, 0.4712349, -0.7985021, -0.09990348, -0.07238518, -0.1181261, -0.5923054, 0.09872165, -0.5125622, -0.1128106, -0.08691391, -0.1387849, -0.5522215, -0.0553241, -0.2658572, -0.1211055, -0.1003785, -0.08889994, -0.3832472, 0.5139533, -0.7645153, -0.09311199, -0.08867601, -0.1151916, -0.6458751, 0.1339648, -0.4709157, -0.1073542, -0.09903534, -0.1361275, -0.6502565, -0.08666038, -0.1997273, -0.1415267, -0.140322, -0.1234104, -0.00661739, 0.7505084, -0.5116527, -0.1109737, -0.1197393, -0.09422579, -0.1078043, 0.7287681, -0.6390216, -0.08317612, -0.1058287, -0.08838671, -0.1708957, 0.7507976, -0.6269267, -0.06407441, -0.09735347, -0.08914414, -0.1833563, 0.7475424, -0.61522, -0.1845061, -0.008336261, -0.1373456, 0.1420749, -0.1098948, -0.5461931, -0.1361383, -0.0860334, -0.1447477, -0.5082648, -0.09576199, -0.3268907, -0.134182, -0.09981506, -0.1450218, -0.5522215, -0.0553241, -0.2658572, -0.1296272, -0.109505, -0.1410609, -0.6502565, -0.08666038, -0.1997273, -0.04437555, -0.08643434, -0.08720648, -0.1833563, 0.7475424, -0.61522
-0.184885, -0.1331608, -0.1570569, -0.0652557, 0.6345606, -0.5864336, -0.184885, -0.1331608, -0.1570569, -0.0652557, 0.6345606, -0.5864336, -0.1763897, -0.1084018, -0.1571885, -0.08612576, 0.1161038, -0.5623615, -0.1851029, -0.08446057, -0.1548298, 0.1011285, 0.03954041, -0.6606646, -0.1892508, -0.05187561, -0.1483908, 0.0869507, 0.1455999, -0.6316496, -0.1948048, -0.01950817, -0.1369052, 0.1291064, 0.01601633, -0.4960356, -0.1495768, -0.04836111, -0.1126211, -0.4314595, 0.4200855, -0.7982479, -0.1250807, -0.03502224, -0.1399472, -0.6122627, -0.0008933078, -0.5301152, -0.1360389, -0.05061145, -0.1561633, -0.5582218, -0.202106, -0.3222339, -0.1362703, -0.06535306, -0.1046614, -0.4791467, 0.4621989, -0.7431971, -0.1127614, -0.05015979, -0.1388617, -0.6683175, 0.009198824, -0.480121, -0.1280434, -0.06528384, -0.1573602, -0.5954338, -0.1720434, -0.2501324, -0.1237085, -0.08230817, -0.108292, -0.4955062, 0.5045995, -0.7045908, -0.1035489, -0.06553303, -0.1386897, -0.7184759, 0.05222587, -0.4365526, -0.12033, -0.07635398, -0.1573918, -0.6876899, -0.1910845, -0.1851072, -0.1458988, -0.1228525, -0.1409605, -0.09583449, 0.8045539, -0.4546142, -0.1126269, -0.09979563, -0.1170809, -0.2164396, 0.7606363, -0.5840877, -0.08607703, -0.08262675, -0.1162807, -0.2772841, 0.7684339, -0.5706177, -0.06867493, -0.07171617, -0.1202056, -0.2864153, 0.769455, -0.5546115, -0.2086246, 0.00128372, -0.1325171, 0.1291064, 0.01601636, -0.4960355, -0.1519369, -0.067137, -0.1585004, -0.5582218, -0.202106, -0.3222339, -0.1486361, -0.08056215, -0.1595022, -0.5954338, -0.1720434, -0.2501324, -0.1417143, -0.08940331, -0.1589629, -0.6876899, -0.1910845, -0.1851072, -0.05040425, -0.05845991, -0.121422, -0.2864153, 0.769455, -0.5546115
-0.1914856, -0.1376591, -0.1530765, 0.01493818, 0.5372403, -0.6392738, -0.1914856, -0.1376591, -0.1530765, 0.01493818, 0.5372403, -0.6392738, -0.1809567, -0.1136939, -0.1530107, -0.04528499, -0.01548095, -0.6089906, -0.1875524, -0.0890563, -0.1550492, 0.1631668, -0.0836647, -0.6722904, -0.1902989, -0.05586237, -0.1517226, 0.1490836, 0.02074954, -0.6470118, -0.1959313, -0.02242596, -0.1439316, 0.1648395, -0.1179347, -0.5068539, -0.1609347, -0.05132441, -0.1080747, -0.3039476, 0.3974504, -0.8657601, -0.1291106, -0.04259498, -0.1289485, -0.5085249, 0.07559611, -0.5800521, -0.1370085, -0.059012, -0.1460999, -0.482925, -0.09828559, -0.3478447, -0.1517623, -0.06827024, -0.09551069, -0.3522936, 0.4525338, -0.8173491, -0.1188066, -0.05816405, -0.1231686, -0.570902, 0.09100144, -0.5419151, -0.1300411, -0.07396931, -0.1438676, -0.5288775, -0.05848841, -0.2876885, -0.1403368, -0.0863371, -0.09428518, -0.3767553, 0.4925315, -0.783021, -0.111775, -0.07448269, -0.1198886, -0.6284986, 0.117606, -0.4924527, -0.1251071, -0.0863485, -0.1406232, -0.6270835, -0.1008684, -0.2116254, -0.1571282, -0.1284408, -0.1281793, -0.01952546, 0.729883, -0.5155903, -0.1290652, -0.1053681, -0.09836332, -0.1132058, 0.7107263, -0.64915, -0.1020851, -0.09016562, -0.09193945, -0.1573857, 0.7370467, -0.6379099, -0.08325806, -0.08109059, -0.09125833, -0.1707112, 0.7315267, -0.625888, -0.2086447, -0.0005033463, -0.1444895, 0.1648395, -0.1179347, -0.5068539, -0.1533806, -0.07449408, -0.150954, -0.482925, -0.09828559, -0.3478447, -0.1507226, -0.08791454, -0.1501825, -0.5288775, -0.05848841, -0.2876885, -0.1469774, -0.09783222, -0.1450791, -0.6270835, -0.1008684, -0.2116254, -0.06413759, -0.06951185, -0.0878868, -0.1707112, 0.7315267, -0.625888
-0.1962677, -0.1395896, -0.1505256, 0.1265227, 0.4105375, -0.7297933, -0.1962677, -0.1395896, -0.1505256, 0.1265227, 0.4105375, -0.7297933, -0.1802095, -0.1189235, -0.1500321, -0.01970676, -0.1559056, -0.714644, -0.1784173, -0.09415406, -0.1561908, 0.1762522, -0.269152, -0.7347282, -0.1709014, -0.06160285, -0.1582825, 0.1689616, -0.1692628, -0.716022, -0.1680251, -0.02693783, -0.1575886, 0.1359397, -0.3064393, -0.5752871, -0.1559906, -0.05607808, -0.1079137, -0.1348983, 0.3752372, -0.9128128, -0.1189714, -0.05840962, -0.1201134, -0.3749372, 0.1826503, -0.556893, -0.1268035, -0.07500001, -0.1371277, -0.3916013, 0.04116763, -0.2853731, -0.1547982, -0.07233021, -0.09167805, -0.1751854, 0.4452452, -0.8706722, -0.114465, -0.07420927, -0.1096466, -0.4383917, 0.2090272, -0.5390656, -0.1238654, -0.09005371, -0.1312117, -0.4386086, 0.09627555, -0.2484199, -0.1490866, -0.09204038, -0.08556729, -0.1991708, 0.4870061, -0.8446032, -0.1129112, -0.09096614, -0.1029461, -0.4966943, 0.2449477, -0.508188, -0.1228556, -0.1026494, -0.1255973, -0.5522427, 0.06713989, -0.1980968, -0.1676532, -0.13432, -0.1182964, 0.107273, 0.6254677, -0.6134566, -0.1425055, -0.1135196, -0.08447612, 0.05423438, 0.6324729, -0.7273401, -0.1153662, -0.1036908, -0.07154727, 0.02317248, 0.676823, -0.7128257, -0.09586817, -0.09891031, -0.06569465, 0.004461639, 0.665826, -0.7089533, -0.1730728, -0.003310516, -0.1652576, 0.1359397, -0.3064393, -0.5752871, -0.1453927, -0.08651517, -0.1444175, -0.3916013, 0.04116763, -0.2853731, -0.1453039, -0.09967344, -0.1416962, -0.4386086, 0.09627555, -0.2484199, -0.1450272, -0.1095594, -0.1351214, -0.5522427, 0.06713989, -0.1980968, -0.07623578, -0.09135833, -0.05741439, 0.004461624, 0.665826, -0.7089533
-0.2007345, -0.1336601, -0.154087, -0.04925168, 0.5905245, -0.6018847, -0.2007345, -0.1336601, -0.154087, -0.04925168, 0.5905245, -0.6018847, -0.1925153, -0.108812, -0.1545485, -0.07744315, 0.05443174, -0.5716404, -0.2012282, -0.08475472, -0.1545437, 0.1172605, -0.02684484, -0.6570324, -0.205753, -0.05180965, -0.1507233, 0.1016329, 0.07842407, -0.623226, -0.2130896, -0.01891075, -0.1421063, 0.132772, -0.051146, -0.4880671, -0.1713823, -0.0462264, -0.1104292, -0.3874606, 0.4017003, -0.8297606, -0.1440597, -0.03387997, -0.1354438, -0.5693657, 0.01500977, -0.5609396, -0.1533237, -0.05031695, -0.1518777, -0.5195578, -0.1809018, -0.3340039, -0.1588766, -0.06259673, -0.1001936, -0.4323568, 0.4532768, -0.7783101, -0.1313675, -0.04822637, -0.1316565, -0.629433, 0.02474447, -0.5122024, -0.1448137, -0.06430607, -0.1507643, -0.5592405, -0.1519089, -0.2601375, -0.1458276, -0.07951853, -0.1015466, -0.4528422, 0.4953955, -0.7402841, -0.1222659, -0.063805, -0.130003, -0.6832185, 0.07277466, -0.4744141, -0.1370193, -0.07536966, -0.1499295, -0.6611379, -0.1645368, -0.2095712, -0.163872, -0.1219716, -0.1343433, -0.08485588, 0.7704936, -0.4771047, -0.133673, -0.09725124, -0.1081555, -0.1828599, 0.7404099, -0.6097567, -0.1071052, -0.08036508, -0.1051033, -0.2240874, 0.7591625, -0.596913, -0.08901148, -0.06998084, -0.1065393, -0.2347836, 0.7565826, -0.5823438, -0.2272373, 0.002074346, -0.1406876, 0.132772, -0.051146, -0.4880671, -0.1691725, -0.06687158, -0.1543398, -0.5195578, -0.1809018, -0.3340039, -0.1654125, -0.07953029, -0.1532113, -0.5592405, -0.1519089, -0.2601375, -0.1582465, -0.08847149, -0.1527199, -0.6611379, -0.1645368, -0.2095712, -0.07039562, -0.05722608, -0.1052003, -0.2347836, 0.7565826, -0.5823438
-0.2035079, -0.1529771, -0.1405431, 0.08368385, 0.529352, -0.6088112, -0.2035079, -0.1529771, -0.1405431, 0.08368385, 0.529352, -0.6088112, -0.1933386, -0.129158, -0.1367442, 0.03386822, -0.04019639, -0.6208819, -0.1991155, -0.1042379, -0.1372769, 0.2518386, -0.09887747, -0.6684168, -0.2020238, -0.07156796, -0.1305939, 0.2378254, -0.001447156, -0.6272697, -0.2094365, -0.03917559, -0.1202882, 0.2494791, -0.1499546, -0.5044535, -0.1801997, -0.07149974, -0.08370675, -0.2421095, 0.4441929, -0.8618008, -0.1458374, -0.06060532, -0.0987148, -0.502238, 0.1452405, -0.6035392, -0.1515746, -0.07513696, -0.1182592, -0.4995426, -0.04147961, -0.3600484, -0.1726189, -0.08960894, -0.07171775, -0.2921335, 0.5028853, -0.8134835, -0.1359683, -0.07640682, -0.09258902, -0.5659961, 0.1595737, -0.5700072, -0.1444562, -0.08983774, -0.1160844, -0.5488603, -0.002719741, -0.3036467, -0.1612703, -0.1077379, -0.07071496, -0.3232677, 0.5375507, -0.7787874, -0.1295159, -0.09345619, -0.09070309, -0.6249771, 0.1837928, -0.5246795, -0.1399629, -0.1029042, -0.1141565, -0.6493312, -0.04771091, -0.2460834, -0.1729071, -0.1463072, -0.1104702, 0.03565872, 0.7221025, -0.4787261, -0.1493514, -0.1263108, -0.07505629, -0.05836, 0.7242417, -0.61914, -0.1235521, -0.1119709, -0.06369527, -0.09952228, 0.7564585, -0.6076596, -0.1050883, -0.1032189, -0.05924889, -0.1109409, 0.7464818, -0.5970472, -0.2218599, -0.01708108, -0.1201037, 0.2494791, -0.1499546, -0.5044535, -0.1678662, -0.08962141, -0.1257482, -0.4995426, -0.04147961, -0.3600484, -0.1647609, -0.1025914, -0.1254192, -0.5488603, -0.002719741, -0.3036467, -0.1612746, -0.1136065, -0.1219866, -0.6493312, -0.04771091, -0.2460834, -0.08675006, -0.09226745, -0.0518462, -0.1109409, 0.7464818, -0.5970472
-0.198215, -0.1516446, -0.1344641, 0.09566075, 0.4527409, -0.6694846, -0.198215, -0.1516446, -0.1344641, 0.09566075, 0.4527409, -0.6694846, -0.185901, -0.1285912, -0.1330131, 0.003932297, -0.121621, -0.656599, -0.1886688, -0.1035562, -0.1375137, 0.1865994, -0.2387543, -0.6964426, -0.1858546, -0.07024485, -0.1392109, 0.1707599, -0.1403678, -0.6636561, -0.188628, -0.03557634, -0.1383054, 0.153549, -0.2770291, -0.5219543, -0.171075, -0.0652725, -0.08739512, -0.1843765, 0.3934322, -0.900598, -0.1346934, -0.06043883, -0.1007258, -0.4246975, 0.155595, -0.5985829, -0.1405728, -0.07693656, -0.1185955, -0.429624, -0.003330301, -0.33758, -0.16649, -0.0820595, -0.07235111, -0.2343605, 0.4575423, -0.8563383, -0.1273635, -0.07630118, -0.09207755, -0.4926494, 0.1690665, -0.5642827, -0.1360427, -0.09208007, -0.1139903, -0.4790951, 0.03495257, -0.2783749, -0.1572693, -0.1008329, -0.06776933, -0.2605557, 0.4968438, -0.8270328, -0.122675, -0.09280829, -0.08649586, -0.5505389, 0.2042555, -0.5352393, -0.1320752, -0.1044384, -0.1094054, -0.5880361, 0.004155263, -0.2370462, -0.1696564, -0.1435479, -0.1027761, 0.05796397, 0.660183, -0.5515708, -0.147091, -0.1208812, -0.0683392, -0.00251016, 0.665939, -0.6806453, -0.1213617, -0.1076287, -0.05558449, -0.03708147, 0.7055295, -0.6697104, -0.1026971, -0.1001266, -0.04987244, -0.05286247, 0.6936817, -0.6618433, -0.1974622, -0.01289102, -0.1453677, 0.153549, -0.2770291, -0.5219544, -0.1576648, -0.09066515, -0.1257153, -0.429624, -0.003330301, -0.33758, -0.157051, -0.1038322, -0.1230795, -0.4790951, 0.03495257, -0.2783749, -0.1536169, -0.1140644, -0.1179689, -0.5880361, 0.004155263, -0.2370462, -0.08426023, -0.0900516, -0.04152959, -0.05286247, 0.6936817, -0.6618433
