b_l_wrist_Position_X, b_l_wrist_Position_Y, b_l_wrist_Position_Z, b_l_wrist_Rotation_X, b_l_wrist_Rotation_Y, b_l_wrist_Rotation_Z, b_l_forearm_stub_Position_X, b_l_forearm_stub_Position_Y, b_l_forearm_stub_Position_Z, b_l_forearm_stub_Rotation_X, b_l_forearm_stub_Rotation_Y, b_l_forearm_stub_Rotation_Z, b_l_thumb0_Position_X, b_l_thumb0_Position_Y, b_l_thumb0_Position_Z, b_l_thumb0_Rotation_X, b_l_thumb0_Rotation_Y, b_l_thumb0_Rotation_Z, b_l_thumb1_Position_X, b_l_thumb1_Position_Y, b_l_thumb1_Position_Z, b_l_thumb1_Rotation_X, b_l_thumb1_Rotation_Y, b_l_thumb1_Rotation_Z, b_l_thumb2_Position_X, b_l_thumb2_Position_Y, b_l_thumb2_Position_Z, b_l_thumb2_Rotation_X, b_l_thumb2_Rotation_Y, b_l_thumb2_Rotation_Z, b_l_thumb3_Position_X, b_l_thumb3_Position_Y, b_l_thumb3_Position_Z, b_l_thumb3_Rotation_X, b_l_thumb3_Rotation_Y, b_l_thumb3_Rotation_Z, b_l_index1_Position_X, b_l_index1_Position_Y, b_l_index1_Position_Z, b_l_index1_Rotation_X, b_l_index1_Rotation_Y, b_l_index1_Rotation_Z, b_l_index2_Position_X, b_l_index2_Position_Y, b_l_index2_Position_Z, b_l_index2_Rotation_X, b_l_index2_Rotation_Y, b_l_index2_Rotation_Z, b_l_index3_Position_X, b_l_index3_Position_Y, b_l_index3_Position_Z, b_l_index3_Rotation_X, b_l_index3_Rotation_Y, b_l_index3_Rotation_Z, b_l_middle1_Position_X, b_l_middle1_Position_Y, b_l_middle1_Position_Z, b_l_middle1_Rotation_X, b_l_middle1_Rotation_Y, b_l_middle1_Rotation_Z, b_l_middle2_Position_X, b_l_middle2_Position_Y, b_l_middle2_Position_Z, b_l_middle2_Rotation_X, b_l_middle2_Rotation_Y, b_l_middle2_Rotation_Z, b_l_middle3_Position_X, b_l_middle3_Position_Y, b_l_middle3_Position_Z, b_l_middle3_Rotation_X, b_l_middle3_Rotation_Y, b_l_middle3_Rotation_Z, b_l_ring1_Position_X, b_l_ring1_Position_Y, b_l_ring1_Position_Z, b_l_ring1_Rotation_X, b_l_ring1_Rotation_Y, b_l_ring1_Rotation_Z, b_l_ring2_Position_X, b_l_ring2_Position_Y, b_l_ring2_Position_Z, b_l_ring2_Rotation_X, b_l_ring2_Rotation_Y, b_l_ring2_Rotation_Z, b_l_ring3_Position_X, b_l_ring3_Position_Y, b_l_ring3_Position_Z, b_l_ring3_Rotation_X, b_l_ring3_Rotation_Y, b_l_ring3_Rotation_Z, b_l_pinky0_Position_X, b_l_pinky0_Position_Y, b_l_pinky0_Position_Z, b_l_pinky0_Rotation_X, b_l_pinky0_Rotation_Y, b_l_pinky0_Rotation_Z, b_l_pinky1_Position_X, b_l_pinky1_Position_Y, b_l_pinky1_Position_Z, b_l_pinky1_Rotation_X, b_l_pinky1_Rotation_Y, b_l_pinky1_Rotation_Z, b_l_pinky2_Position_X, b_l_pinky2_Position_Y, b_l_pinky2_Position_Z, b_l_pinky2_Rotation_X, b_l_pinky2_Rotation_Y, b_l_pinky2_Rotation_Z, b_l_pinky3_Position_X, b_l_pinky3_Position_Y, b_l_pinky3_Position_Z, b_l_pinky3_Rotation_X, b_l_pinky3_Rotation_Y, b_l_pinky3_Rotation_Z, l_thumb_finger_tip_marker_Position_X, l_thumb_finger_tip_marker_Position_Y, l_thumb_finger_tip_marker_Position_Z, l_thumb_finger_tip_marker_Rotation_X, l_thumb_finger_tip_marker_Rotation_Y, l_thumb_finger_tip_marker_Rotation_Z, l_index_finger_tip_marker_Position_X, l_index_finger_tip_marker_Position_Y, l_index_finger_tip_marker_Position_Z, l_index_finger_tip_marker_Rotation_X, l_index_finger_tip_marker_Rotation_Y, l_index_finger_tip_marker_Rotation_Z, l_middle_finger_tip_marker_Position_X, l_middle_finger_tip_marker_Position_Y, l_middle_finger_tip_marker_Position_Z, l_middle_finger_tip_marker_Rotation_X, l_middle_finger_tip_marker_Rotation_Y, l_middle_finger_tip_marker_Rotation_Z, l_ring_finger_tip_marker_Position_X, l_ring_finger_tip_marker_Position_Y, l_ring_finger_tip_marker_Position_Z, l_ring_finger_tip_marker_Rotation_X, l_ring_finger_tip_marker_Rotation_Y, l_ring_finger_tip_marker_Rotation_Z, l_pinky_finger_tip_marker_Position_X, l_pinky_finger_tip_marker_Position_Y, l_pinky_finger_tip_marker_Position_Z, l_pinky_finger_tip_marker_Rotation_X, l_pinky_finger_tip_marker_Rotation_Y, l_pinky_finger_tip_marker_Rotation_Z
-0.2807815, -0.2303621, 0.1457481, -0.153624, 0.5831702, -0.6156126, -0.2807815, -0.2303621, 0.1457481, -0.153624, 0.5831702, -0.6156126, -0.2748187, -0.2051521, 0.1406815, -0.1657486, 0.09416328, -0.4746305, -0.2885379, -0.1833004, 0.1407974, -0.05478168, -0.06234315, -0.5782257, -0.2994588, -0.151848, 0.1352429, -0.08121569, 0.04151362, -0.5944518, -0.3096263, -0.1182867, 0.1341826, -0.04785836, -0.05456606, -0.4291297, -0.2528238, -0.1350334, 0.1725602, -0.07619608, 0.6171528, -0.6642981, -0.2274525, -0.1096323, 0.1887321, -0.1126098, 0.6323307, -0.6676089, -0.2100151, -0.09335366, 0.1969532, -0.07160316, 0.6574266, -0.6420295, -0.2374983, -0.1490281, 0.1829219, -0.1665581, 0.6176777, -0.6728636, -0.2077038, -0.1175798, 0.1933839, -0.1671953, 0.6269724, -0.6662503, -0.1884272, -0.09757704, 0.2001925, -0.1383597, 0.6619722, -0.6182302, -0.2232608, -0.1652239, 0.1818318, -0.2151021, 0.6233842, -0.6457229, -0.198519, -0.1342409, 0.1900145, -0.2296588, 0.6445893, -0.6271636, -0.1814789, -0.1131979, 0.1952999, -0.2414769, 0.6387576, -0.6129257, -0.2422836, -0.2134464, 0.1579504, -0.1780218, 0.760367, -0.5060507, -0.2106028, -0.1830508, 0.1758001, -0.2802284, 0.6432291, -0.5989882, -0.1932188, -0.1568075, 0.1809278, -0.2599989, 0.6849492, -0.5806673, -0.1802996, -0.1406017, 0.1848174, -0.2812652, 0.6687734, -0.5641475, -0.3264706, -0.09926893, 0.1313561, -0.04785833, -0.05456609, -0.4291297, -0.1942676, -0.08002168, 0.2076559, -0.07160316, 0.6574266, -0.6420295, -0.1719617, -0.08045256, 0.2106277, -0.1383597, 0.6619722, -0.6182302, -0.1672329, -0.09347969, 0.2022945, -0.2414769, 0.6387576, -0.6129257, -0.168516, -0.1220401, 0.1908401, -0.2812652, 0.6687734, -0.5641475
-0.2802637, -0.2299682, 0.1497948, -0.161696, 0.5801734, -0.6282089, -0.2802637, -0.2299682, 0.1497948, -0.161696, 0.5801734, -0.6282089, -0.2738966, -0.2050567, 0.1438242, -0.1831239, 0.09678653, -0.4840596, -0.2871235, -0.1829057, 0.1434961, -0.07544538, -0.06600545, -0.5854427, -0.2974457, -0.1514462, 0.1369294, -0.1005664, 0.03729518, -0.6055635, -0.3067009, -0.1176775, 0.1347198, -0.06924835, -0.05526316, -0.4403161, -0.249836, -0.1344618, 0.1730491, -0.07650861, 0.6129903, -0.6731265, -0.2239381, -0.1092169, 0.1886196, -0.112448, 0.6283419, -0.6761357, -0.2061763, -0.09309702, 0.1964497, -0.07164222, 0.6532941, -0.6512326, -0.2345878, -0.1484469, 0.1835369, -0.1619309, 0.6168144, -0.6798176, -0.2040499, -0.117599, 0.1936364, -0.1629627, 0.6260062, -0.6735027, -0.1842867, -0.09798212, 0.2001673, -0.1341294, 0.6609442, -0.6262572, -0.2207067, -0.1649625, 0.1826714, -0.21343, 0.622838, -0.6535757, -0.1951938, -0.1344433, 0.1902031, -0.2275723, 0.6442847, -0.6349595, -0.1776325, -0.1137244, 0.1950444, -0.2395471, 0.6388066, -0.6209081, -0.2411887, -0.2134916, 0.1606938, -0.1809638, 0.7578591, -0.5197281, -0.2085389, -0.1832276, 0.1769501, -0.2797433, 0.6445116, -0.609453, -0.1902429, -0.1574477, 0.1811756, -0.2583478, 0.6858172, -0.5912924, -0.1767484, -0.141582, 0.1844683, -0.2799679, 0.6705906, -0.5749345, -0.3230488, -0.09830834, 0.1314069, -0.06924835, -0.05526316, -0.4403161, -0.190128, -0.07984471, 0.2067989, -0.07164222, 0.6532941, -0.6512326, -0.1673797, -0.08113395, 0.2103431, -0.1341294, 0.6609442, -0.6262572, -0.1628803, -0.09424198, 0.2016391, -0.2395471, 0.6388066, -0.6209081, -0.1642753, -0.1232824, 0.1898724, -0.2799679, 0.6705906, -0.5749345
-0.2735945, -0.2227455, 0.1426958, -0.1613254, 0.5848184, -0.6226512, -0.2735945, -0.2227455, 0.1426958, -0.1613254, 0.5848184, -0.6226512, -0.2673917, -0.1977217, 0.1370297, -0.1766443, 0.1043823, -0.4725016, -0.2811103, -0.1758715, 0.1373395, -0.07274905, -0.05612233, -0.5762503, -0.2922348, -0.144555, 0.1314325, -0.09923169, 0.04552762, -0.6034492, -0.3016215, -0.1107921, 0.1297542, -0.06622469, -0.04748333, -0.441452, -0.2436124, -0.1273826, 0.1670898, -0.08720558, 0.6147875, -0.6723318, -0.217625, -0.1018233, 0.1819835, -0.1240872, 0.6293894, -0.6757448, -0.1998233, -0.08550031, 0.1892845, -0.08537401, 0.6543949, -0.652689, -0.228244, -0.1414179, 0.1773323, -0.1729406, 0.6186385, -0.680366, -0.1974387, -0.1104859, 0.1862993, -0.1736921, 0.6278438, -0.6739846, -0.1775066, -0.09081522, 0.1921158, -0.1455961, 0.663294, -0.6278477, -0.2142737, -0.1578415, 0.1761943, -0.2214949, 0.6255528, -0.653981, -0.1884435, -0.1273885, 0.1828633, -0.2353075, 0.6469374, -0.6352386, -0.1706736, -0.1067177, 0.187113, -0.2483189, 0.6415266, -0.6216165, -0.2345697, -0.2061923, 0.1536583, -0.1818184, 0.7614479, -0.513365, -0.2020262, -0.1759602, 0.1701847, -0.2877158, 0.646734, -0.6087987, -0.183598, -0.1501801, 0.1737893, -0.2659631, 0.6877269, -0.5910189, -0.1700065, -0.1343129, 0.1766472, -0.2879681, 0.6728812, -0.5745882, -0.317952, -0.09134081, 0.1268632, -0.06622469, -0.04748333, -0.441452, -0.1835888, -0.07201257, 0.199021, -0.08537401, 0.6543949, -0.652689, -0.1603009, -0.0738624, 0.2015932, -0.1455961, 0.663294, -0.6278477, -0.1556577, -0.08724466, 0.1931135, -0.2483189, 0.6415266, -0.6216165, -0.1573811, -0.1159886, 0.1815948, -0.2879681, 0.6728812, -0.5745882
-0.2751094, -0.2244106, 0.1390293, -0.1589366, 0.5852125, -0.6227695, -0.2751094, -0.2244106, 0.1390293, -0.1589366, 0.5852125, -0.6227695, -0.2688197, -0.1993891, 0.1334499, -0.1757973, 0.1023234, -0.4782539, -0.282278, -0.1773761, 0.1336225, -0.06420533, -0.04914092, -0.5823138, -0.2929779, -0.1457887, 0.1284149, -0.09024964, 0.0538298, -0.6031045, -0.3023359, -0.1119864, 0.1275822, -0.05573329, -0.04098915, -0.4395216, -0.2449256, -0.1292011, 0.1637713, -0.07693225, 0.618076, -0.6693022, -0.2189389, -0.1041048, 0.1794338, -0.1133258, 0.6332503, -0.6722479, -0.2011292, -0.0880543, 0.1872974, -0.07119257, 0.6582854, -0.6466531, -0.2296259, -0.1433083, 0.1740179, -0.1643388, 0.6215029, -0.6771815, -0.1988893, -0.112597, 0.1839295, -0.1647366, 0.6308016, -0.6704913, -0.1790129, -0.0930711, 0.1903887, -0.1351927, 0.6657437, -0.6231802, -0.2156991, -0.1597684, 0.1728736, -0.2159473, 0.6269262, -0.651265, -0.1900167, -0.1293461, 0.180219, -0.2299738, 0.6482666, -0.6324955, -0.1723436, -0.1086924, 0.1849308, -0.2406454, 0.643269, -0.6178359, -0.2360687, -0.2079988, 0.1501469, -0.1795293, 0.7619197, -0.5130656, -0.2034862, -0.1779052, 0.1668483, -0.288686, 0.6449344, -0.6087443, -0.1852105, -0.1520206, 0.1704799, -0.2670538, 0.6860506, -0.59104, -0.1717151, -0.1360759, 0.1733619, -0.28875, 0.6712133, -0.5743716, -0.3187776, -0.09255806, 0.1252145, -0.05573329, -0.04098921, -0.4395215, -0.1850476, -0.07491423, 0.1977375, -0.07119257, 0.6582854, -0.6466531, -0.1619639, -0.07634084, 0.2005222, -0.1351927, 0.6657437, -0.6231802, -0.1574785, -0.08929092, 0.1915103, -0.2406453, 0.643269, -0.6178359, -0.1592076, -0.1176813, 0.1783479, -0.28875, 0.6712133, -0.5743716
-0.2725873, -0.2208765, 0.1406965, -0.1681923, 0.5891401, -0.6193004, -0.2725873, -0.2208765, 0.1406965, -0.1681923, 0.5891401, -0.6193004, -0.2666339, -0.1958083, 0.1349598, -0.180935, 0.1111052, -0.4699537, -0.2804016, -0.1739931, 0.1354842, -0.07118811, -0.04016788, -0.5755441, -0.2916848, -0.1425712, 0.1305117, -0.09823094, 0.0622633, -0.5968359, -0.3015019, -0.1088953, 0.1298664, -0.06124532, -0.03099322, -0.4334986, -0.2427441, -0.1253717, 0.1647024, -0.08850311, 0.6223149, -0.6705363, -0.2162132, -0.1002265, 0.1793405, -0.1261947, 0.6366085, -0.6736892, -0.1980903, -0.08415526, 0.186406, -0.08743905, 0.6613459, -0.6511883, -0.2271141, -0.1393299, 0.1746503, -0.1742374, 0.6263965, -0.6775608, -0.1957874, -0.1088403, 0.1833213, -0.1743654, 0.6356755, -0.6708192, -0.1755328, -0.08945784, 0.1889892, -0.1455871, 0.6709871, -0.6249702, -0.2130691, -0.1556685, 0.1732406, -0.2255353, 0.6321307, -0.6521367, -0.1867641, -0.1255108, 0.1793743, -0.2390277, 0.6533967, -0.6331247, -0.1686787, -0.1050421, 0.1832549, -0.2516705, 0.6483889, -0.6193952, -0.2334735, -0.204107, 0.1509929, -0.188348, 0.7643597, -0.5101312, -0.2008226, -0.1737054, 0.166988, -0.3010096, 0.6477067, -0.6087235, -0.18232, -0.1478562, 0.1695719, -0.2787436, 0.6883228, -0.5916474, -0.1686625, -0.1319346, 0.1717259, -0.3010376, 0.6741432, -0.5748398, -0.318224, -0.08966589, 0.1278669, -0.06124532, -0.03099322, -0.4334986, -0.1815042, -0.07091902, 0.1958917, -0.08743905, 0.6613459, -0.6511883, -0.1579657, -0.0728021, 0.1983295, -0.1455871, 0.6709871, -0.6249703, -0.1533189, -0.08575016, 0.1889629, -0.2516705, 0.6483889, -0.6193952, -0.1559036, -0.1135208, 0.1759448, -0.3010376, 0.6741432, -0.5748398
-0.2697911, -0.2190666, 0.1391201, -0.1695902, 0.583687, -0.6169067, -0.2697911, -0.2190666, 0.1391201, -0.1695902, 0.583687, -0.6169067, -0.2641863, -0.1939136, 0.1334032, -0.1809149, 0.1013815, -0.4687874, -0.2781172, -0.1721962, 0.1335187, -0.06295854, -0.04284039, -0.5738136, -0.2895197, -0.1407901, 0.1287215, -0.09022631, 0.06058168, -0.5897103, -0.2999445, -0.1072928, 0.1283899, -0.05267274, -0.03398821, -0.4259003, -0.2418922, -0.1230176, 0.1632929, -0.08699362, 0.6188154, -0.6669102, -0.2160852, -0.09746185, 0.1785031, -0.1227276, 0.6335841, -0.6695215, -0.1984387, -0.08111247, 0.1861151, -0.08213773, 0.6588395, -0.6450047, -0.226163, -0.1366872, 0.1734822, -0.1733725, 0.6226988, -0.6757398, -0.1954677, -0.1057218, 0.1827073, -0.1736853, 0.6319881, -0.6690527, -0.1756158, -0.08603154, 0.1887283, -0.1447557, 0.667329, -0.6223477, -0.211826, -0.1527884, 0.1722996, -0.2261899, 0.627459, -0.6510866, -0.1861082, -0.1221996, 0.1787791, -0.2399856, 0.6487159, -0.6322895, -0.1684174, -0.1014347, 0.1828978, -0.2523412, 0.643541, -0.6182742, -0.2311081, -0.2016142, 0.1498978, -0.1917931, 0.7598177, -0.5093034, -0.1991934, -0.1706287, 0.1662545, -0.3009461, 0.6430223, -0.6077955, -0.1811484, -0.1444937, 0.1691775, -0.2791693, 0.6840525, -0.5907581, -0.1677825, -0.1283611, 0.1715766, -0.3020623, 0.6691225, -0.5741292, -0.3169886, -0.08834316, 0.1264391, -0.05267274, -0.03398821, -0.4259003, -0.1824006, -0.06767371, 0.196237, -0.08213773, 0.6588395, -0.6450047, -0.1584855, -0.0691278, 0.1984274, -0.1447557, 0.667329, -0.6223477, -0.1534633, -0.08189388, 0.1888319, -0.2523412, 0.643541, -0.6182742, -0.1553859, -0.1097466, 0.1759901, -0.3020623, 0.6691225, -0.5741292
-0.2695887, -0.2184466, 0.1390424, -0.1703616, 0.5875345, -0.6108919, -0.2695887, -0.2184466, 0.1390424, -0.1703616, 0.5875345, -0.6108919, -0.2642277, -0.1931789, 0.1336043, -0.1771949, 0.1049155, -0.4642341, -0.2783402, -0.1715828, 0.1340233, -0.05910414, -0.03851075, -0.5704883, -0.2900233, -0.1402223, 0.1296196, -0.08687752, 0.0653972, -0.5823811, -0.3010084, -0.1069031, 0.1297662, -0.04749209, -0.02967647, -0.4180378, -0.2424441, -0.122448, 0.1642519, -0.0923078, 0.6222598, -0.6634914, -0.2166587, -0.09676123, 0.1792769, -0.129104, 0.6364922, -0.6665355, -0.1990272, -0.08030447, 0.1866895, -0.09100091, 0.6615265, -0.6437595, -0.2265561, -0.1360977, 0.1742189, -0.178937, 0.625493, -0.6721534, -0.1959808, -0.1049442, 0.183206, -0.1799465, 0.6345499, -0.6658404, -0.1761886, -0.08512929, 0.189011, -0.1517279, 0.6700276, -0.6195911, -0.2120825, -0.1520562, 0.1727912, -0.2306172, 0.6304256, -0.6474082, -0.1864493, -0.1213658, 0.179124, -0.2443918, 0.6515282, -0.628518, -0.1688191, -0.1005295, 0.1831405, -0.258791, 0.6457447, -0.6154296, -0.2310198, -0.2007815, 0.1498823, -0.1939949, 0.7626491, -0.5028402, -0.1993166, -0.169711, 0.166487, -0.3048252, 0.6465264, -0.6045728, -0.1812326, -0.1435834, 0.1692291, -0.2829762, 0.687301, -0.5876313, -0.1678342, -0.1274569, 0.1714841, -0.30452, 0.6730949, -0.5703031, -0.3183914, -0.08823311, 0.1281355, -0.04749209, -0.02967647, -0.4180378, -0.1828763, -0.06674223, 0.1964615, -0.09100091, 0.6615265, -0.6437595, -0.159028, -0.06811443, 0.1984589, -0.1517279, 0.6700276, -0.6195911, -0.1538712, -0.08091335, 0.188837, -0.258791, 0.6457447, -0.6154296, -0.1553783, -0.1088709, 0.1758506, -0.30452, 0.6730949, -0.5703031
-0.2753352, -0.2172641, 0.1399667, -0.1786819, 0.5896373, -0.6077385, -0.2753352, -0.2172641, 0.1399667, -0.1786819, 0.5896373, -0.6077385, -0.2703197, -0.1919571, 0.134384, -0.1831184, 0.1087524, -0.4614564, -0.2845226, -0.1704215, 0.1348566, -0.07062374, -0.04720962, -0.5673141, -0.2963992, -0.1392756, 0.1295412, -0.09854291, 0.05475602, -0.5905098, -0.306805, -0.105786, 0.1285284, -0.06201109, -0.03810556, -0.4253787, -0.2488099, -0.1209226, 0.1645185, -0.1036126, 0.6228219, -0.6620552, -0.2231193, -0.09478825, 0.1789211, -0.1425668, 0.6359695, -0.6663395, -0.2055345, -0.07803257, 0.1857523, -0.1033779, 0.6616387, -0.6434776, -0.232632, -0.1343804, 0.174278, -0.1911987, 0.6247321, -0.6710244, -0.2022766, -0.1027678, 0.1823619, -0.1912839, 0.6340322, -0.6642874, -0.1826402, -0.08265927, 0.1876642, -0.1606761, 0.6704708, -0.6172039, -0.2180168, -0.1501922, 0.1726713, -0.2405614, 0.6300585, -0.6445576, -0.1927193, -0.1191238, 0.1784894, -0.254311, 0.6510068, -0.6257049, -0.1753212, -0.09802891, 0.1821531, -0.2653728, 0.6463866, -0.6107881, -0.236792, -0.1991722, 0.1501757, -0.2022131, 0.7636646, -0.5004919, -0.2051653, -0.167731, 0.166219, -0.3088725, 0.6484594, -0.5989437, -0.1873538, -0.1414278, 0.169064, -0.2873278, 0.6891815, -0.5820791, -0.1741201, -0.1251728, 0.1713683, -0.309333, 0.6745994, -0.5648865, -0.323856, -0.08688536, 0.1261998, -0.06201109, -0.03810556, -0.4253787, -0.1893682, -0.06417538, 0.1950746, -0.1033779, 0.6616387, -0.6434776, -0.1655813, -0.06539273, 0.1968358, -0.1606761, 0.6704708, -0.6172039, -0.1606, -0.07822223, 0.1877801, -0.2653728, 0.6463866, -0.6107881, -0.1618412, -0.1064756, 0.1757617, -0.309333, 0.6745994, -0.5648865
-0.2787775, -0.2154674, 0.1401653, -0.181174, 0.58262, -0.6161783, -0.2787775, -0.2154674, 0.1401653, -0.181174, 0.58262, -0.6161783, -0.2735736, -0.1903235, 0.1340441, -0.1924942, 0.1010282, -0.4700658, -0.2874462, -0.1685695, 0.1338345, -0.08279821, -0.06552346, -0.5725247, -0.2987824, -0.1375105, 0.1270378, -0.1092065, 0.03485446, -0.6055722, -0.3080492, -0.1037819, 0.1243234, -0.07824776, -0.05601463, -0.440772, -0.251691, -0.1187854, 0.1626818, -0.1061298, 0.6156071, -0.67277, -0.2255777, -0.09263756, 0.1762771, -0.1426842, 0.6292791, -0.6758536, -0.2077757, -0.07595833, 0.1827217, -0.1023918, 0.6551427, -0.6527392, -0.235637, -0.1321315, 0.1727929, -0.1959513, 0.6154025, -0.6809281, -0.2051194, -0.1004269, 0.1798396, -0.1966758, 0.6245714, -0.6747191, -0.1853651, -0.0802557, 0.1844162, -0.1666269, 0.6617169, -0.6284654, -0.2211226, -0.1480713, 0.171587, -0.2460742, 0.6198643, -0.6538029, -0.1958849, -0.1167986, 0.1764999, -0.2596458, 0.6410908, -0.6352876, -0.1785271, -0.09557331, 0.1795495, -0.2704905, 0.6368751, -0.6199924, -0.2401489, -0.1974103, 0.1501099, -0.2026909, 0.7581518, -0.5104095, -0.208367, -0.165833, 0.1655685, -0.3156751, 0.6377478, -0.608189, -0.1907224, -0.1393449, 0.1676315, -0.293777, 0.6788273, -0.5920344, -0.1775932, -0.1229451, 0.1694569, -0.3156544, 0.6647033, -0.5741841, -0.3243687, -0.08442783, 0.1207892, -0.07824776, -0.05601463, -0.440772, -0.1914562, -0.06211296, 0.1917912, -0.1023918, 0.6551427, -0.6527392, -0.1681802, -0.06278619, 0.1929456, -0.1666269, 0.6617169, -0.6284654, -0.1638537, -0.07558741, 0.1846423, -0.2704905, 0.6368751, -0.6199925, -0.1654394, -0.1040539, 0.1733385, -0.3156544, 0.6647033, -0.5741841
-0.2778762, -0.2158967, 0.141783, -0.1855654, 0.5836096, -0.6211367, -0.2778762, -0.2158967, 0.141783, -0.1855654, 0.5836096, -0.6211367, -0.2724845, -0.1908896, 0.1352758, -0.1996017, 0.1074727, -0.4698236, -0.2862995, -0.1690983, 0.1351681, -0.09146462, -0.05677491, -0.5726902, -0.2976952, -0.1380295, 0.1285171, -0.1180514, 0.04327618, -0.605517, -0.3069206, -0.1042828, 0.1258876, -0.08555789, -0.04618888, -0.4439652, -0.2493702, -0.1192637, 0.1627004, -0.1114917, 0.6141391, -0.677565, -0.2228891, -0.09311559, 0.1755642, -0.1483573, 0.6274836, -0.6806865, -0.2048701, -0.07647315, 0.1814792, -0.1095861, 0.6531266, -0.6591058, -0.233315, -0.1326682, 0.1727321, -0.2000187, 0.6145684, -0.6849113, -0.202404, -0.1011723, 0.1789511, -0.1998301, 0.6239983, -0.6783098, -0.1824126, -0.08113588, 0.1830677, -0.1698309, 0.6614026, -0.6327342, -0.219, -0.1487856, 0.1715039, -0.2482311, 0.620648, -0.6570853, -0.1933352, -0.1177719, 0.1758079, -0.2614945, 0.641947, -0.6384968, -0.1756912, -0.09672755, 0.1784413, -0.2724981, 0.6379963, -0.6233228, -0.2389013, -0.1981613, 0.150923, -0.2043975, 0.7587906, -0.5154558, -0.2065369, -0.1667629, 0.1655129, -0.3158451, 0.6400389, -0.6106905, -0.1885111, -0.1405068, 0.1672128, -0.2934794, 0.6808349, -0.5945691, -0.1751399, -0.1242775, 0.1687883, -0.3155926, 0.6670843, -0.5768763, -0.3231335, -0.08478798, 0.122649, -0.08555788, -0.04618891, -0.4439652, -0.1882678, -0.0625972, 0.1899701, -0.1095862, 0.6531267, -0.6591058, -0.1649587, -0.06373169, 0.1911737, -0.1698309, 0.6614026, -0.6327342, -0.160718, -0.07687138, 0.1831549, -0.2724981, 0.6379963, -0.6233228, -0.1626864, -0.1055299, 0.1724074, -0.3155926, 0.6670843, -0.5768763
